Linha,X45
Tabela,001
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,05:55
109117,TERMINAL CAPAO DA IMBUIA,06:12
109120,TERMINAL BAIRRO ALTO,06:28
109117,TERMINAL CAPAO DA IMBUIA,06:45
109120,TERMINAL BAIRRO ALTO,07:02
109117,TERMINAL CAPAO DA IMBUIA,07:22
109120,TERMINAL BAIRRO ALTO,07:44
109117,TERMINAL CAPAO DA IMBUIA,08:02
109120,TERMINAL BAIRRO ALTO,08:24
109117,TERMINAL CAPAO DA IMBUIA,08:42
109120,TERMINAL BAIRRO ALTO,09:00
109117,TERMINAL CAPAO DA IMBUIA,09:16
109120,TERMINAL BAIRRO ALTO,09:33
109117,TERMINAL CAPAO DA IMBUIA,09:48
109120,TERMINAL BAIRRO ALTO,10:04
109117,TERMINAL CAPAO DA IMBUIA,10:21
109120,TERMINAL BAIRRO ALTO,10:39
109117,TERMINAL CAPAO DA IMBUIA,10:55
109120,TERMINAL BAIRRO ALTO,11:09
109117,TERMINAL CAPAO DA IMBUIA,11:23
109120,TERMINAL BAIRRO ALTO,11:42
109117,TERMINAL CAPAO DA IMBUIA,11:57
109120,TERMINAL BAIRRO ALTO,12:15
109117,TERMINAL CAPAO DA IMBUIA,12:32
109120,TERMINAL BAIRRO ALTO,12:46
109117,TERMINAL CAPAO DA IMBUIA,13:04
109120,TERMINAL BAIRRO ALTO,13:20
109117,TERMINAL CAPAO DA IMBUIA,13:37
109120,TERMINAL BAIRRO ALTO,13:54
109117,TERMINAL CAPAO DA IMBUIA,14:12
109120,TERMINAL BAIRRO ALTO,14:30
109117,TERMINAL CAPAO DA IMBUIA,14:47
109120,TERMINAL BAIRRO ALTO,15:03
109117,TERMINAL CAPAO DA IMBUIA,15:22
109120,TERMINAL BAIRRO ALTO,15:40
109117,TERMINAL CAPAO DA IMBUIA,15:56
109120,TERMINAL BAIRRO ALTO,16:14
109117,TERMINAL CAPAO DA IMBUIA,16:35
109120,TERMINAL BAIRRO ALTO,16:50
109117,TERMINAL CAPAO DA IMBUIA,17:06
109120,TERMINAL BAIRRO ALTO,17:22
109117,TERMINAL CAPAO DA IMBUIA,17:40
109120,TERMINAL BAIRRO ALTO,17:59
109117,TERMINAL CAPAO DA IMBUIA,18:17
109120,TERMINAL BAIRRO ALTO,18:36
109117,TERMINAL CAPAO DA IMBUIA,18:54
109120,TERMINAL BAIRRO ALTO,19:10
109117,TERMINAL CAPAO DA IMBUIA,19:25
109120,TERMINAL BAIRRO ALTO,19:40
109117,TERMINAL CAPAO DA IMBUIA,19:53
109120,TERMINAL BAIRRO ALTO,20:06
109117,TERMINAL CAPAO DA IMBUIA,20:21
109120,TERMINAL BAIRRO ALTO,20:36
109117,TERMINAL CAPAO DA IMBUIA,20:50
109120,TERMINAL BAIRRO ALTO,21:07
109117,TERMINAL CAPAO DA IMBUIA,21:22
109120,TERMINAL BAIRRO ALTO,21:36
109117,TERMINAL CAPAO DA IMBUIA,21:50
109120,TERMINAL BAIRRO ALTO,22:03
109117,TERMINAL CAPAO DA IMBUIA,22:18
109120,TERMINAL BAIRRO ALTO,22:35
109117,TERMINAL CAPAO DA IMBUIA,22:49
109120,TERMINAL BAIRRO ALTO,23:03
109117,TERMINAL CAPAO DA IMBUIA,23:16
109120,TERMINAL BAIRRO ALTO,23:31
109117,TERMINAL CAPAO DA IMBUIA,23:45
109120,TERMINAL BAIRRO ALTO,23:59
109117,TERMINAL CAPAO DA IMBUIA,00:12
