Linha,X45
Tabela,003
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:18
109117,TERMINAL CAPAO DA IMBUIA,06:35
109120,TERMINAL BAIRRO ALTO,06:51
109117,TERMINAL CAPAO DA IMBUIA,07:08
109120,TERMINAL BAIRRO ALTO,07:24
109117,TERMINAL CAPAO DA IMBUIA,07:44
109120,TERMINAL BAIRRO ALTO,08:07
109117,TERMINAL CAPAO DA IMBUIA,08:27
109120,TERMINAL BAIRRO ALTO,08:45
109117,TERMINAL CAPAO DA IMBUIA,09:03
109120,TERMINAL BAIRRO ALTO,09:20
109117,TERMINAL CAPAO DA IMBUIA,09:35
109120,TERMINAL BAIRRO ALTO,09:49
109117,TERMINAL CAPAO DA IMBUIA,10:03
109120,TERMINAL BAIRRO ALTO,10:17
109117,TERMINAL CAPAO DA IMBUIA,10:35
109120,TERMINAL BAIRRO ALTO,10:52
109117,TERMINAL CAPAO DA IMBUIA,11:10
109120,TERMINAL BAIRRO ALTO,11:24
109117,TERMINAL CAPAO DA IMBUIA,11:42
109120,TERMINAL BAIRRO ALTO,11:58
109117,TERMINAL CAPAO DA IMBUIA,12:16
109120,TERMINAL BAIRRO ALTO,12:32
109117,TERMINAL CAPAO DA IMBUIA,12:51
109120,TERMINAL BAIRRO ALTO,13:07
109117,TERMINAL CAPAO DA IMBUIA,13:21
109120,TERMINAL BAIRRO ALTO,13:37
109117,TERMINAL CAPAO DA IMBUIA,13:51
109120,TERMINAL BAIRRO ALTO,14:09
109117,TERMINAL CAPAO DA IMBUIA,14:25
109120,TERMINAL BAIRRO ALTO,14:44
109117,TERMINAL CAPAO DA IMBUIA,15:00
109120,TERMINAL BAIRRO ALTO,15:16
109117,TERMINAL CAPAO DA IMBUIA,15:35
109120,TERMINAL BAIRRO ALTO,15:52
109117,TERMINAL CAPAO DA IMBUIA,16:07
109120,TERMINAL BAIRRO ALTO,16:25
109117,TERMINAL CAPAO DA IMBUIA,16:42
109120,TERMINAL BAIRRO ALTO,16:58
109117,TERMINAL CAPAO DA IMBUIA,17:16
109120,TERMINAL BAIRRO ALTO,17:34
109117,TERMINAL CAPAO DA IMBUIA,17:51
109120,TERMINAL BAIRRO ALTO,18:09
109117,TERMINAL CAPAO DA IMBUIA,18:26
109120,TERMINAL BAIRRO ALTO,18:46
109117,TERMINAL CAPAO DA IMBUIA,19:05
