Linha,030
Tabela,016-2
num,ponto,horario
104815,TERMINAL CAPAO RASO,16:19
104905,TERMINAL CARMO (SENT.OFICINAS),16:53
105606,TERMINAL OFICINAS(SENT.B.ALTO),17:27
104006,TERM.BAIRRO ALTO (SENT.S.CAND),17:54
105907,TERMINAL SANTA CANDIDA,18:17
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),18:41
105603,TERMINAL OFICINAS (SENT.CARMO),19:07
104907,TERMINAL CARMO (SENT. C.RASO),19:37
104815,TERMINAL CAPAO RASO,20:11
104905,TERMINAL CARMO (SENT.OFICINAS),20:40
105606,TERMINAL OFICINAS(SENT.B.ALTO),21:11
104006,TERM.BAIRRO ALTO (SENT.S.CAND),21:33
105907,TERMINAL SANTA CANDIDA,21:53
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),22:12
105603,TERMINAL OFICINAS (SENT.CARMO),22:35
104907,TERMINAL CARMO (SENT. C.RASO),23:02
104815,TERMINAL CAPAO RASO,23:25
104905,TERMINAL CARMO (SENT.OFICINAS),23:52
105606,TERMINAL OFICINAS(SENT.B.ALTO),00:19
104006,TERM.BAIRRO ALTO (SENT.S.CAND),00:36
