Linha,030
Tabela,008-2
num,ponto,horario
104905,TERMINAL CARMO (SENT.OFICINAS),16:25
105606,TERMINAL OFICINAS(SENT.B.ALTO),16:59
104006,TERM.BAIRRO ALTO (SENT.S.CAND),17:26
105907,TERMINAL SANTA CANDIDA,17:49
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),18:13
105603,TERMINAL OFICINAS (SENT.CARMO),18:39
104907,TERMINAL CARMO (SENT. C.RASO),19:09
104815,TERMINAL CAPAO RASO,19:41
104905,TERMINAL CARMO (SENT.OFICINAS),20:12
105606,TERMINAL OFICINAS(SENT.B.ALTO),20:39
104006,TERM.BAIRRO ALTO (SENT.S.CAND),21:02
105907,TERMINAL SANTA CANDIDA,21:21
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),21:41
105603,TERMINAL OFICINAS (SENT.CARMO),22:05
104907,TERMINAL CARMO (SENT. C.RASO),22:32
104815,TERMINAL CAPAO RASO,22:55
104905,TERMINAL CARMO (SENT.OFICINAS),23:22
105606,TERMINAL OFICINAS(SENT.B.ALTO),23:49
104006,TERM.BAIRRO ALTO (SENT.S.CAND),00:08
105907,TERMINAL SANTA CANDIDA,00:27
