Linha,030
Tabela,005-2
num,ponto,horario
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),16:14
105603,TERMINAL OFICINAS (SENT.CARMO),16:41
104907,TERMINAL CARMO (SENT. C.RASO),17:13
104815,TERMINAL CAPAO RASO,17:43
104905,TERMINAL CARMO (SENT.OFICINAS),18:19
105606,TERMINAL OFICINAS(SENT.B.ALTO),18:53
104006,TERM.BAIRRO ALTO (SENT.S.CAND),19:20
105907,TERMINAL SANTA CANDIDA,19:43
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),20:03
105603,TERMINAL OFICINAS (SENT.CARMO),20:27
104907,TERMINAL CARMO (SENT. C.RASO),20:57
104815,TERMINAL CAPAO RASO,21:17
104905,TERMINAL CARMO (SENT.OFICINAS),21:46
105606,TERMINAL OFICINAS(SENT.B.ALTO),22:13
104006,TERM.BAIRRO ALTO (SENT.S.CAND),22:38
105907,TERMINAL SANTA CANDIDA,22:55
104001,TERM.BAIRRO ALTO(SEN.OFICINAS),23:14
105603,TERMINAL OFICINAS (SENT.CARMO),23:37
104907,TERMINAL CARMO (SENT. C.RASO),00:04
104815,TERMINAL CAPAO RASO,00:25
