Linha,023
Tabela,013-2
num,ponto,horario
109109,TERMINAL HAUER,16:55
109117,TERMINAL CAPAO DA IMBUIA,17:14
109083,TERMINAL CABRAL,17:38
109167,TERMINAL CAMPINA DO SIQUEIRA,18:10
109089,TERMINAL PORTAO,18:37
109093,TERMINAL CAPAO RASO,18:44
109109,TERMINAL HAUER,19:04
109117,TERMINAL CAPAO DA IMBUIA,19:23
109083,TERMINAL CABRAL,19:46
109167,TERMINAL CAMPINA DO SIQUEIRA,20:15
109089,TERMINAL PORTAO,20:31
109093,TERMINAL CAPAO RASO,20:38
109109,TERMINAL HAUER,20:53
109117,TERMINAL CAPAO DA IMBUIA,21:09
109083,TERMINAL CABRAL,21:31
109167,TERMINAL CAMPINA DO SIQUEIRA,21:55
109089,TERMINAL PORTAO,22:11
109093,TERMINAL CAPAO RASO,22:18
109109,TERMINAL HAUER,22:33
109117,TERMINAL CAPAO DA IMBUIA,22:49
109083,TERMINAL CABRAL,23:12
109167,TERMINAL CAMPINA DO SIQUEIRA,23:36
109089,TERMINAL PORTAO,23:52
109093,TERMINAL CAPAO RASO,23:58
