Linha,875
Tabela,001
num,ponto,horario
190029,BAIRRO BIGORRILHO,06:10
101003,PRACA TIRADENTES,06:35
190029,BAIRRO BIGORRILHO,07:05
101003,PRACA TIRADENTES,07:35
190029,BAIRRO BIGORRILHO,08:05
101003,PRACA TIRADENTES,08:35
190029,BAIRRO BIGORRILHO,09:05
101003,PRACA TIRADENTES,09:35
190029,BAIRRO BIGORRILHO,10:05
101003,PRACA TIRADENTES,10:35
190029,BAIRRO BIGORRILHO,11:05
101003,PRACA TIRADENTES,11:35
190029,BAIRRO BIGORRILHO,12:05
101003,PRACA TIRADENTES,12:35
190029,BAIRRO BIGORRILHO,13:05
101003,PRACA TIRADENTES,13:35
190029,BAIRRO BIGORRILHO,14:05
101003,PRACA TIRADENTES,14:35
190029,BAIRRO BIGORRILHO,15:05
101003,PRACA TIRADENTES,15:35
190029,BAIRRO BIGORRILHO,16:05
101003,PRACA TIRADENTES,16:35
190029,BAIRRO BIGORRILHO,17:05
101003,PRACA TIRADENTES,17:35
190029,BAIRRO BIGORRILHO,18:05
101003,PRACA TIRADENTES,18:35
190029,BAIRRO BIGORRILHO,19:05
101003,PRACA TIRADENTES,19:35
190029,BAIRRO BIGORRILHO,20:05
101003,PRACA TIRADENTES,20:35
190029,BAIRRO BIGORRILHO,21:05
101003,PRACA TIRADENTES,21:35
190029,BAIRRO BIGORRILHO,22:05
101003,PRACA TIRADENTES,22:35
190029,BAIRRO BIGORRILHO,23:05
101003,PRACA TIRADENTES,23:35
