Linha,652
Tabela,004-2
num,ponto,horario
105202,TERMINAL CIC,17:31
170747,BAIRRO VILA VERDE,17:53
105202,TERMINAL CIC,18:19
170747,BAIRRO VILA VERDE,18:41
105202,TERMINAL CIC,19:06
170747,BAIRRO VILA VERDE,19:31
105202,TERMINAL CIC,19:55
170747,BAIRRO VILA VERDE,20:13
105202,TERMINAL CIC,20:35
170747,BAIRRO VILA VERDE,20:53
105202,TERMINAL CIC,21:15
170747,BAIRRO VILA VERDE,21:33
105202,TERMINAL CIC,21:55
170747,BAIRRO VILA VERDE,22:13
105202,TERMINAL CIC,22:35
170747,BAIRRO VILA VERDE,22:53
105202,TERMINAL CIC,23:15
170747,BAIRRO VILA VERDE,23:33
105202,TERMINAL CIC,23:55
