Linha,652
Tabela,003-2
num,ponto,horario
170162,RUA JOÃO CHEDE 1599 - ( L 644),16:53
105202,TERMINAL CIC,17:12
170747,BAIRRO VILA VERDE,17:34
105202,TERMINAL CIC,18:00
170747,BAIRRO VILA VERDE,18:22
105202,TERMINAL CIC,18:47
170747,BAIRRO VILA VERDE,19:10
105202,TERMINAL CIC,19:35
170747,BAIRRO VILA VERDE,19:52
105202,TERMINAL CIC,20:15
170747,BAIRRO VILA VERDE,20:33
105202,TERMINAL CIC,20:55
170747,BAIRRO VILA VERDE,21:13
105202,TERMINAL CIC,21:35
170747,BAIRRO VILA VERDE,21:53
105202,TERMINAL CIC,22:15
170747,BAIRRO VILA VERDE,22:33
105202,TERMINAL CIC,22:55
170747,BAIRRO VILA VERDE,23:13
105202,TERMINAL CIC,23:35
170747,BAIRRO VILA VERDE,23:53
105202,TERMINAL CIC,00:15
