Linha,653
Tabela,001
num,ponto,horario
180870,R. N. SRA. DO EQUILIBRIO,04:48
180863,MORADIAS CORBELIA,04:54
105208,TERMINAL CIC,05:13
180863,MORADIAS CORBELIA,05:32
105208,TERMINAL CIC,05:55
180863,MORADIAS CORBELIA,06:21
105208,TERMINAL CIC,06:45
180863,MORADIAS CORBELIA,07:06
105208,TERMINAL CIC,07:30
180863,MORADIAS CORBELIA,07:51
105208,TERMINAL CIC,08:15
180863,MORADIAS CORBELIA,08:41
105208,TERMINAL CIC,09:05
180863,MORADIAS CORBELIA,09:31
105208,TERMINAL CIC,09:55
180863,MORADIAS CORBELIA,10:21
105208,TERMINAL CIC,10:45
180863,MORADIAS CORBELIA,11:11
105208,TERMINAL CIC,11:35
180863,MORADIAS CORBELIA,12:01
105208,TERMINAL CIC,12:25
180863,MORADIAS CORBELIA,12:51
105208,TERMINAL CIC,13:17
180863,MORADIAS CORBELIA,13:43
105208,TERMINAL CIC,14:07
180863,MORADIAS CORBELIA,14:33
105208,TERMINAL CIC,14:57
180863,MORADIAS CORBELIA,15:23
105208,TERMINAL CIC,15:47
180863,MORADIAS CORBELIA,16:13
105208,TERMINAL CIC,16:44
180863,MORADIAS CORBELIA,17:12
105208,TERMINAL CIC,17:38
180863,MORADIAS CORBELIA,18:06
105208,TERMINAL CIC,18:32
180863,MORADIAS CORBELIA,19:00
105208,TERMINAL CIC,19:24
180863,MORADIAS CORBELIA,19:51
105208,TERMINAL CIC,20:15
