Linha,372
Tabela,005-2
num,ponto,horario
103203,PRACA CARLOS GOMES,15:48
104003,TERMINAL BAIRRO ALTO,16:28
103203,PRACA CARLOS GOMES,17:04
104003,TERMINAL BAIRRO ALTO,17:49
103203,PRACA CARLOS GOMES,18:28
104003,TERMINAL BAIRRO ALTO,19:10
103203,PRACA CARLOS GOMES,19:50
104003,TERMINAL BAIRRO ALTO,20:18
103203,PRACA CARLOS GOMES,20:50
104003,TERMINAL BAIRRO ALTO,21:18
103203,PRACA CARLOS GOMES,21:50
104003,TERMINAL BAIRRO ALTO,22:18
103203,PRACA CARLOS GOMES,22:50
104003,TERMINAL BAIRRO ALTO,23:18
103203,PRACA CARLOS GOMES,23:50
