Linha,372
Tabela,001
num,ponto,horario
104003,TERMINAL BAIRRO ALTO,05:30
103203,PRACA CARLOS GOMES,06:00
104003,TERMINAL BAIRRO ALTO,06:32
103203,PRACA CARLOS GOMES,07:09
104003,TERMINAL BAIRRO ALTO,07:48
103203,PRACA CARLOS GOMES,08:28
104003,TERMINAL BAIRRO ALTO,09:06
103203,PRACA CARLOS GOMES,09:42
104003,TERMINAL BAIRRO ALTO,10:19
103203,PRACA CARLOS GOMES,10:56
104003,TERMINAL BAIRRO ALTO,11:33
103203,PRACA CARLOS GOMES,12:10
104003,TERMINAL BAIRRO ALTO,12:47
103203,PRACA CARLOS GOMES,13:24
104003,TERMINAL BAIRRO ALTO,14:01
103203,PRACA CARLOS GOMES,14:39
104003,TERMINAL BAIRRO ALTO,15:22
103203,PRACA CARLOS GOMES,16:03
104003,TERMINAL BAIRRO ALTO,16:42
103203,PRACA CARLOS GOMES,17:18
104003,TERMINAL BAIRRO ALTO,18:03
103203,PRACA CARLOS GOMES,18:43
104003,TERMINAL BAIRRO ALTO,19:30
103203,PRACA CARLOS GOMES,20:10
104003,TERMINAL BAIRRO ALTO,20:38
103203,PRACA CARLOS GOMES,21:10
104003,TERMINAL BAIRRO ALTO,21:38
103203,PRACA CARLOS GOMES,22:10
104003,TERMINAL BAIRRO ALTO,22:38
103203,PRACA CARLOS GOMES,23:10
104003,TERMINAL BAIRRO ALTO,23:38
103203,PRACA CARLOS GOMES,00:10
