Linha,X50
Tabela,002
num,ponto,horario
104508,TERMINAL CAMPINA DO SIQUEIRA,08:45
104508,TERMINAL CAMPINA DO SIQUEIRA,09:15
104508,TERMINAL CAMPINA DO SIQUEIRA,09:45
104508,TERMINAL CAMPINA DO SIQUEIRA,10:15
104508,TERMINAL CAMPINA DO SIQUEIRA,10:45
104508,TERMINAL CAMPINA DO SIQUEIRA,11:15
104508,TERMINAL CAMPINA DO SIQUEIRA,11:45
104508,TERMINAL CAMPINA DO SIQUEIRA,12:15
104508,TERMINAL CAMPINA DO SIQUEIRA,12:45
104508,TERMINAL CAMPINA DO SIQUEIRA,13:15
104508,TERMINAL CAMPINA DO SIQUEIRA,13:45
104508,TERMINAL CAMPINA DO SIQUEIRA,14:15
104508,TERMINAL CAMPINA DO SIQUEIRA,14:45
104508,TERMINAL CAMPINA DO SIQUEIRA,15:15
104508,TERMINAL CAMPINA DO SIQUEIRA,15:45
104508,TERMINAL CAMPINA DO SIQUEIRA,16:15
104508,TERMINAL CAMPINA DO SIQUEIRA,16:45
104508,TERMINAL CAMPINA DO SIQUEIRA,17:15
104508,TERMINAL CAMPINA DO SIQUEIRA,17:45
104508,TERMINAL CAMPINA DO SIQUEIRA,18:15
104508,TERMINAL CAMPINA DO SIQUEIRA,18:45
104508,TERMINAL CAMPINA DO SIQUEIRA,19:15
104508,TERMINAL CAMPINA DO SIQUEIRA,19:45
104508,TERMINAL CAMPINA DO SIQUEIRA,20:15
104508,TERMINAL CAMPINA DO SIQUEIRA,20:45
104508,TERMINAL CAMPINA DO SIQUEIRA,21:15
