Linha,508
Tabela,001-2
num,ponto,horario
109677,TERMINAL PINHEIRINHO,16:33
109111,TERMINAL SITIO CERCADO,16:52
109104,TERMINAL BOQUEIRAO,17:07
109026,TERMINAL GUADALUPE,17:44
109677,TERMINAL PINHEIRINHO,18:30
109111,TERMINAL SITIO CERCADO,18:52
109104,TERMINAL BOQUEIRAO,19:08
109026,TERMINAL GUADALUPE,19:46
109677,TERMINAL PINHEIRINHO,20:17
109111,TERMINAL SITIO CERCADO,20:35
109104,TERMINAL BOQUEIRAO,20:49
109026,TERMINAL GUADALUPE,21:20
109677,TERMINAL PINHEIRINHO,21:47
109111,TERMINAL SITIO CERCADO,22:05
109104,TERMINAL BOQUEIRAO,22:19
109026,TERMINAL GUADALUPE,22:51
109677,TERMINAL PINHEIRINHO,23:19
109111,TERMINAL SITIO CERCADO,23:41
109104,TERMINAL BOQUEIRAO,23:53
109026,TERMINAL GUADALUPE,00:19
109677,TERMINAL PINHEIRINHO,00:46
