Linha,508
Tabela,007-2
num,ponto,horario
109026,TERMINAL GUADALUPE,17:08
109677,TERMINAL PINHEIRINHO,17:48
109111,TERMINAL SITIO CERCADO,18:09
109104,TERMINAL BOQUEIRAO,18:24
109026,TERMINAL GUADALUPE,19:01
109677,TERMINAL PINHEIRINHO,19:42
109111,TERMINAL SITIO CERCADO,19:59
109104,TERMINAL BOQUEIRAO,20:13
109026,TERMINAL GUADALUPE,20:44
109677,TERMINAL PINHEIRINHO,21:11
109111,TERMINAL SITIO CERCADO,21:29
109104,TERMINAL BOQUEIRAO,21:43
109026,TERMINAL GUADALUPE,22:14
109677,TERMINAL PINHEIRINHO,22:41
109111,TERMINAL SITIO CERCADO,22:59
109104,TERMINAL BOQUEIRAO,23:13
109026,TERMINAL GUADALUPE,23:45
109677,TERMINAL PINHEIRINHO,00:14
