Linha,508
Tabela,003-2
num,ponto,horario
109026,TERMINAL GUADALUPE,17:25
109677,TERMINAL PINHEIRINHO,18:08
109111,TERMINAL SITIO CERCADO,18:29
109104,TERMINAL BOQUEIRAO,18:45
109026,TERMINAL GUADALUPE,19:21
109677,TERMINAL PINHEIRINHO,20:00
109111,TERMINAL SITIO CERCADO,20:17
109104,TERMINAL BOQUEIRAO,20:31
109026,TERMINAL GUADALUPE,21:02
109677,TERMINAL PINHEIRINHO,21:29
109111,TERMINAL SITIO CERCADO,21:47
109104,TERMINAL BOQUEIRAO,22:01
109026,TERMINAL GUADALUPE,22:32
109677,TERMINAL PINHEIRINHO,23:00
109111,TERMINAL SITIO CERCADO,23:20
109104,TERMINAL BOQUEIRAO,23:33
109026,TERMINAL GUADALUPE,00:04
109677,TERMINAL PINHEIRINHO,00:32
