Linha,508
Tabela,009-2
num,ponto,horario
109677,TERMINAL PINHEIRINHO,16:52
109111,TERMINAL SITIO CERCADO,17:11
109104,TERMINAL BOQUEIRAO,17:26
109026,TERMINAL GUADALUPE,18:03
109677,TERMINAL PINHEIRINHO,18:52
109111,TERMINAL SITIO CERCADO,19:15
109104,TERMINAL BOQUEIRAO,19:30
109026,TERMINAL GUADALUPE,20:01
109677,TERMINAL PINHEIRINHO,20:35
109111,TERMINAL SITIO CERCADO,20:53
109104,TERMINAL BOQUEIRAO,21:07
109026,TERMINAL GUADALUPE,21:38
109677,TERMINAL PINHEIRINHO,22:05
109111,TERMINAL SITIO CERCADO,22:23
109104,TERMINAL BOQUEIRAO,22:37
109026,TERMINAL GUADALUPE,23:09
109677,TERMINAL PINHEIRINHO,23:38
