Linha,238
Tabela,001-2
num,ponto,horario
105911,TERMINAL SANTA CANDIDA,17:00
130993,ESTACAO ATUBA,17:13
105911,TERMINAL SANTA CANDIDA,17:30
130993,ESTACAO ATUBA,17:44
105911,TERMINAL SANTA CANDIDA,18:02
130993,ESTACAO ATUBA,18:17
105911,TERMINAL SANTA CANDIDA,18:35
130993,ESTACAO ATUBA,18:50
105911,TERMINAL SANTA CANDIDA,19:08
130993,ESTACAO ATUBA,19:23
105911,TERMINAL SANTA CANDIDA,19:40
130993,ESTACAO ATUBA,19:51
105911,TERMINAL SANTA CANDIDA,20:05
130993,ESTACAO ATUBA,20:17
105911,TERMINAL SANTA CANDIDA,20:35
130993,ESTACAO ATUBA,20:47
105911,TERMINAL SANTA CANDIDA,21:05
130993,ESTACAO ATUBA,21:17
105911,TERMINAL SANTA CANDIDA,21:35
130993,ESTACAO ATUBA,21:47
105911,TERMINAL SANTA CANDIDA,22:05
130993,ESTACAO ATUBA,22:17
105911,TERMINAL SANTA CANDIDA,22:35
130993,ESTACAO ATUBA,22:47
105911,TERMINAL SANTA CANDIDA,23:05
130993,ESTACAO ATUBA,23:17
105911,TERMINAL SANTA CANDIDA,23:35
130993,ESTACAO ATUBA,23:47
105911,TERMINAL SANTA CANDIDA,00:05
130993,ESTACAO ATUBA,00:17
