Linha,238
Tabela,001-1
num,ponto,horario
105911,TERMINAL SANTA CANDIDA,05:07
130993,ESTACAO ATUBA,05:20
105911,TERMINAL SANTA CANDIDA,05:34
130993,ESTACAO ATUBA,05:44
105911,TERMINAL SANTA CANDIDA,05:58
130993,ESTACAO ATUBA,06:09
105911,TERMINAL SANTA CANDIDA,06:22
130993,ESTACAO ATUBA,06:34
105911,TERMINAL SANTA CANDIDA,06:48
130993,ESTACAO ATUBA,07:00
105911,TERMINAL SANTA CANDIDA,07:14
130993,ESTACAO ATUBA,07:27
105911,TERMINAL SANTA CANDIDA,07:41
130993,ESTACAO ATUBA,07:54
105911,TERMINAL SANTA CANDIDA,08:08
130993,ESTACAO ATUBA,08:21
105911,TERMINAL SANTA CANDIDA,08:35
130993,ESTACAO ATUBA,08:48
