Linha,X90
Tabela,001
num,ponto,horario
131003,GARAGEM GLORIA-UNIDADE B.VISTA,06:00
109015,TUBO CHINA,07:00
109036,TUBO MARECHAL DEODORO FONSECA,08:50
108020,ESTAÇÃO TUBO MARIA CLARA,10:10
108001,ESTAÇÃO TUBO JOAQUIM NABUCO (S),11:30
131003,GARAGEM GLORIA-UNIDADE B.VISTA,12:00
109015,TUBO CHINA,12:30
109036,TUBO MARECHAL DEODORO FONSECA,14:10
108020,ESTAÇÃO TUBO MARIA CLARA,15:25
108001,ESTAÇÃO TUBO JOAQUIM NABUCO (S),17:15
131003,GARAGEM GLORIA-UNIDADE B.VISTA,18:00
109015,TUBO CHINA,18:30
109036,TUBO MARECHAL DEODORO FONSECA,20:15
108020,ESTAÇÃO TUBO MARIA CLARA,21:25
108001,ESTAÇÃO TUBO JOAQUIM NABUCO (S),23:05
