Linha,X45
Tabela,001
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,06:00
109117,TERMINAL CAPAO DA IMBUIA,06:16
109120,TERMINAL BAIRRO ALTO,06:34
109117,TERMINAL CAPAO DA IMBUIA,06:52
109120,TERMINAL BAIRRO ALTO,07:10
109117,TERMINAL CAPAO DA IMBUIA,07:28
109120,TERMINAL BAIRRO ALTO,07:46
109117,TERMINAL CAPAO DA IMBUIA,08:04
109120,TERMINAL BAIRRO ALTO,08:23
109117,TERMINAL CAPAO DA IMBUIA,08:40
109120,TERMINAL BAIRRO ALTO,08:54
109117,TERMINAL CAPAO DA IMBUIA,09:08
109120,TERMINAL BAIRRO ALTO,09:26
109117,TERMINAL CAPAO DA IMBUIA,09:42
109120,TERMINAL BAIRRO ALTO,09:56
109117,TERMINAL CAPAO DA IMBUIA,10:14
109120,TERMINAL BAIRRO ALTO,10:30
109117,TERMINAL CAPAO DA IMBUIA,10:48
109120,TERMINAL BAIRRO ALTO,11:06
109117,TERMINAL CAPAO DA IMBUIA,11:24
109120,TERMINAL BAIRRO ALTO,11:42
109117,TERMINAL CAPAO DA IMBUIA,12:00
109120,TERMINAL BAIRRO ALTO,12:16
109117,TERMINAL CAPAO DA IMBUIA,12:32
109120,TERMINAL BAIRRO ALTO,12:48
109117,TERMINAL CAPAO DA IMBUIA,13:06
109120,TERMINAL BAIRRO ALTO,13:24
109117,TERMINAL CAPAO DA IMBUIA,13:42
109120,TERMINAL BAIRRO ALTO,14:00
109117,TERMINAL CAPAO DA IMBUIA,14:18
109120,TERMINAL BAIRRO ALTO,14:36
109117,TERMINAL CAPAO DA IMBUIA,14:52
109120,TERMINAL BAIRRO ALTO,15:10
109117,TERMINAL CAPAO DA IMBUIA,15:28
109120,TERMINAL BAIRRO ALTO,15:44
109117,TERMINAL CAPAO DA IMBUIA,16:00
109120,TERMINAL BAIRRO ALTO,16:18
109117,TERMINAL CAPAO DA IMBUIA,16:34
109120,TERMINAL BAIRRO ALTO,16:52
109117,TERMINAL CAPAO DA IMBUIA,17:10
109120,TERMINAL BAIRRO ALTO,17:26
109117,TERMINAL CAPAO DA IMBUIA,17:42
109120,TERMINAL BAIRRO ALTO,18:00
109117,TERMINAL CAPAO DA IMBUIA,18:18
109120,TERMINAL BAIRRO ALTO,18:36
109117,TERMINAL CAPAO DA IMBUIA,18:52
109120,TERMINAL BAIRRO ALTO,19:12
109117,TERMINAL CAPAO DA IMBUIA,19:26
109120,TERMINAL BAIRRO ALTO,19:44
109117,TERMINAL CAPAO DA IMBUIA,20:00
109120,TERMINAL BAIRRO ALTO,20:18
109117,TERMINAL CAPAO DA IMBUIA,20:35
109120,TERMINAL BAIRRO ALTO,20:52
109117,TERMINAL CAPAO DA IMBUIA,21:07
109120,TERMINAL BAIRRO ALTO,21:25
109117,TERMINAL CAPAO DA IMBUIA,21:42
109120,TERMINAL BAIRRO ALTO,21:58
109117,TERMINAL CAPAO DA IMBUIA,22:15
109120,TERMINAL BAIRRO ALTO,22:32
109117,TERMINAL CAPAO DA IMBUIA,22:48
109120,TERMINAL BAIRRO ALTO,23:04
109117,TERMINAL CAPAO DA IMBUIA,23:22
109120,TERMINAL BAIRRO ALTO,23:42
109117,TERMINAL CAPAO DA IMBUIA,23:58
