Linha,X35
Tabela,005-1
num,ponto,horario
105706,TERMINAL PINHEIRINHO,06:20
109058,ESTACAO TUBO PREFEITURA,07:03
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,07:11
105706,TERMINAL PINHEIRINHO,07:48
