Linha,X35
Tabela,007-2
num,ponto,horario
105706,TERMINAL PINHEIRINHO,16:38
109058,ESTACAO TUBO PREFEITURA,17:34
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:42
