Linha,X35
Tabela,008-2
num,ponto,horario
105706,TERMINAL PINHEIRINHO,16:45
109058,ESTACAO TUBO PREFEITURA,17:44
109019,E.T.CIRC.MILITAR SENT.PINHEIR.,17:52
