Linha,X03
Tabela,1
num,ponto,horario
160016,BAIRRO ALTO BOQUEIRAO,05:00
104315,TERMINAL BOQUEIRAO,05:17
160016,BAIRRO ALTO BOQUEIRAO,05:34
104315,TERMINAL BOQUEIRAO,05:51
160016,BAIRRO ALTO BOQUEIRAO,06:08
104315,TERMINAL BOQUEIRAO,06:25
160016,BAIRRO ALTO BOQUEIRAO,06:42
104315,TERMINAL BOQUEIRAO,06:59
160016,BAIRRO ALTO BOQUEIRAO,07:16
104315,TERMINAL BOQUEIRAO,07:33
160016,BAIRRO ALTO BOQUEIRAO,07:50
104315,TERMINAL BOQUEIRAO,08:07
160016,BAIRRO ALTO BOQUEIRAO,08:24
104315,TERMINAL BOQUEIRAO,08:41
160016,BAIRRO ALTO BOQUEIRAO,08:58
104315,TERMINAL BOQUEIRAO,09:15
160016,BAIRRO ALTO BOQUEIRAO,09:32
104315,TERMINAL BOQUEIRAO,09:49
160016,BAIRRO ALTO BOQUEIRAO,10:06
104315,TERMINAL BOQUEIRAO,10:24
160016,BAIRRO ALTO BOQUEIRAO,10:42
104315,TERMINAL BOQUEIRAO,11:00
160016,BAIRRO ALTO BOQUEIRAO,11:18
104315,TERMINAL BOQUEIRAO,11:36
160016,BAIRRO ALTO BOQUEIRAO,11:54
104315,TERMINAL BOQUEIRAO,12:12
160016,BAIRRO ALTO BOQUEIRAO,12:30
104315,TERMINAL BOQUEIRAO,12:48
160016,BAIRRO ALTO BOQUEIRAO,13:06
104315,TERMINAL BOQUEIRAO,13:24
160016,BAIRRO ALTO BOQUEIRAO,13:42
104315,TERMINAL BOQUEIRAO,14:00
160016,BAIRRO ALTO BOQUEIRAO,14:18
104315,TERMINAL BOQUEIRAO,14:36
160016,BAIRRO ALTO BOQUEIRAO,14:54
104315,TERMINAL BOQUEIRAO,15:12
160016,BAIRRO ALTO BOQUEIRAO,15:30
104315,TERMINAL BOQUEIRAO,15:48
160016,BAIRRO ALTO BOQUEIRAO,16:06
104315,TERMINAL BOQUEIRAO,16:23
160016,BAIRRO ALTO BOQUEIRAO,16:40
104315,TERMINAL BOQUEIRAO,16:57
160016,BAIRRO ALTO BOQUEIRAO,17:14
104315,TERMINAL BOQUEIRAO,17:31
160016,BAIRRO ALTO BOQUEIRAO,17:48
104315,TERMINAL BOQUEIRAO,18:05
160016,BAIRRO ALTO BOQUEIRAO,18:22
104315,TERMINAL BOQUEIRAO,18:39
160016,BAIRRO ALTO BOQUEIRAO,18:56
104315,TERMINAL BOQUEIRAO,19:13
160016,BAIRRO ALTO BOQUEIRAO,19:30
104315,TERMINAL BOQUEIRAO,19:47
160016,BAIRRO ALTO BOQUEIRAO,20:04
104315,TERMINAL BOQUEIRAO,20:21
160016,BAIRRO ALTO BOQUEIRAO,20:38
104315,TERMINAL BOQUEIRAO,20:55
160016,BAIRRO ALTO BOQUEIRAO,21:13
104315,TERMINAL BOQUEIRAO,21:31
160016,BAIRRO ALTO BOQUEIRAO,21:49
104315,TERMINAL BOQUEIRAO,22:07
160016,BAIRRO ALTO BOQUEIRAO,22:25
104315,TERMINAL BOQUEIRAO,22:43
160016,BAIRRO ALTO BOQUEIRAO,23:01
104315,TERMINAL BOQUEIRAO,23:19
160016,BAIRRO ALTO BOQUEIRAO,23:37
104315,TERMINAL BOQUEIRAO,23:55
160016,BAIRRO ALTO BOQUEIRAO,00:13
104315,TERMINAL BOQUEIRAO,00:30
