Linha,X03
Tabela,1
num,ponto,horario
160016,BAIRRO ALTO BOQUEIRAO,05:15
104315,TERMINAL BOQUEIRAO,05:30
160016,BAIRRO ALTO BOQUEIRAO,05:48
104315,TERMINAL BOQUEIRAO,06:06
160016,BAIRRO ALTO BOQUEIRAO,06:24
104315,TERMINAL BOQUEIRAO,06:42
160016,BAIRRO ALTO BOQUEIRAO,07:00
104315,TERMINAL BOQUEIRAO,07:18
160016,BAIRRO ALTO BOQUEIRAO,07:36
104315,TERMINAL BOQUEIRAO,07:54
160016,BAIRRO ALTO BOQUEIRAO,08:12
104315,TERMINAL BOQUEIRAO,08:30
160016,BAIRRO ALTO BOQUEIRAO,08:48
104315,TERMINAL BOQUEIRAO,09:06
160016,BAIRRO ALTO BOQUEIRAO,09:24
104315,TERMINAL BOQUEIRAO,09:42
160016,BAIRRO ALTO BOQUEIRAO,10:00
104315,TERMINAL BOQUEIRAO,10:18
160016,BAIRRO ALTO BOQUEIRAO,10:36
104315,TERMINAL BOQUEIRAO,10:54
160016,BAIRRO ALTO BOQUEIRAO,11:12
104315,TERMINAL BOQUEIRAO,11:30
160016,BAIRRO ALTO BOQUEIRAO,11:48
104315,TERMINAL BOQUEIRAO,12:06
160016,BAIRRO ALTO BOQUEIRAO,12:25
104315,TERMINAL BOQUEIRAO,12:44
160016,BAIRRO ALTO BOQUEIRAO,13:03
104315,TERMINAL BOQUEIRAO,13:22
160016,BAIRRO ALTO BOQUEIRAO,13:41
104315,TERMINAL BOQUEIRAO,14:00
160016,BAIRRO ALTO BOQUEIRAO,14:19
104315,TERMINAL BOQUEIRAO,14:38
160016,BAIRRO ALTO BOQUEIRAO,14:57
104315,TERMINAL BOQUEIRAO,15:16
160016,BAIRRO ALTO BOQUEIRAO,15:35
104315,TERMINAL BOQUEIRAO,15:54
160016,BAIRRO ALTO BOQUEIRAO,16:13
104315,TERMINAL BOQUEIRAO,16:32
160016,BAIRRO ALTO BOQUEIRAO,16:51
104315,TERMINAL BOQUEIRAO,17:10
160016,BAIRRO ALTO BOQUEIRAO,17:29
104315,TERMINAL BOQUEIRAO,17:48
160016,BAIRRO ALTO BOQUEIRAO,18:07
104315,TERMINAL BOQUEIRAO,18:26
160016,BAIRRO ALTO BOQUEIRAO,18:45
104315,TERMINAL BOQUEIRAO,19:04
160016,BAIRRO ALTO BOQUEIRAO,19:23
104315,TERMINAL BOQUEIRAO,19:42
160016,BAIRRO ALTO BOQUEIRAO,20:01
104315,TERMINAL BOQUEIRAO,20:20
160016,BAIRRO ALTO BOQUEIRAO,20:39
104315,TERMINAL BOQUEIRAO,20:58
160016,BAIRRO ALTO BOQUEIRAO,21:17
104315,TERMINAL BOQUEIRAO,21:36
160016,BAIRRO ALTO BOQUEIRAO,21:55
104315,TERMINAL BOQUEIRAO,22:14
160016,BAIRRO ALTO BOQUEIRAO,22:33
104315,TERMINAL BOQUEIRAO,22:52
160016,BAIRRO ALTO BOQUEIRAO,23:11
104315,TERMINAL BOQUEIRAO,23:30
