Linha,X06
Tabela,1
num,ponto,horario
160160,BAIRRO ZOOLOGICO,06:00
106115,TERMINAL SITIO CERCADO,06:30
160160,BAIRRO ZOOLOGICO,07:00
106115,TERMINAL SITIO CERCADO,07:30
160160,BAIRRO ZOOLOGICO,08:00
106115,TERMINAL SITIO CERCADO,08:30
160160,BAIRRO ZOOLOGICO,09:00
106115,TERMINAL SITIO CERCADO,09:30
160160,BAIRRO ZOOLOGICO,10:00
106115,TERMINAL SITIO CERCADO,10:30
160160,BAIRRO ZOOLOGICO,11:00
106115,TERMINAL SITIO CERCADO,11:30
160160,BAIRRO ZOOLOGICO,12:00
106115,TERMINAL SITIO CERCADO,12:30
160160,BAIRRO ZOOLOGICO,13:00
106115,TERMINAL SITIO CERCADO,13:30
160160,BAIRRO ZOOLOGICO,14:00
106115,TERMINAL SITIO CERCADO,14:30
160160,BAIRRO ZOOLOGICO,15:00
106115,TERMINAL SITIO CERCADO,15:30
160160,BAIRRO ZOOLOGICO,16:00
106115,TERMINAL SITIO CERCADO,16:30
160160,BAIRRO ZOOLOGICO,17:00
106115,TERMINAL SITIO CERCADO,17:30
160160,BAIRRO ZOOLOGICO,18:00
106115,TERMINAL SITIO CERCADO,18:30
160160,BAIRRO ZOOLOGICO,19:00
106115,TERMINAL SITIO CERCADO,19:30
