Linha,650
Tabela,002
num,ponto,horario
170626,R. JOVENILSON A. OLIVEIRA,04:45
171065,TERMINAL TATUQUARA,05:00
105739,TERMINAL PINHEIRINHO,05:37
171065,TERMINAL TATUQUARA,06:10
105739,TERMINAL PINHEIRINHO,07:04
171065,TERMINAL TATUQUARA,07:37
105739,TERMINAL PINHEIRINHO,08:40
171065,TERMINAL TATUQUARA,09:14
105739,TERMINAL PINHEIRINHO,09:55
171065,TERMINAL TATUQUARA,10:30
105739,TERMINAL PINHEIRINHO,11:11
171065,TERMINAL TATUQUARA,11:47
105739,TERMINAL PINHEIRINHO,12:30
171065,TERMINAL TATUQUARA,13:06
105739,TERMINAL PINHEIRINHO,13:50
171065,TERMINAL TATUQUARA,14:26
105739,TERMINAL PINHEIRINHO,15:10
171065,TERMINAL TATUQUARA,15:46
105739,TERMINAL PINHEIRINHO,16:29
171065,TERMINAL TATUQUARA,17:09
105739,TERMINAL PINHEIRINHO,18:04
171065,TERMINAL TATUQUARA,18:49
105739,TERMINAL PINHEIRINHO,19:28
171065,TERMINAL TATUQUARA,20:03
105739,TERMINAL PINHEIRINHO,20:37
171065,TERMINAL TATUQUARA,21:12
105739,TERMINAL PINHEIRINHO,21:46
171065,TERMINAL TATUQUARA,22:21
105739,TERMINAL PINHEIRINHO,22:55
171065,TERMINAL TATUQUARA,23:30
105739,TERMINAL PINHEIRINHO,00:06
