Linha,631
Tabela,002-1
num,ponto,horario
150837,BAIRRO PIRATINI,05:00
105729,TERMINAL PINHEIRINHO-BR476,05:20
105727,TERMINAL PINHEIRINHO-PIRATINI,05:37
150837,BAIRRO PIRATINI,05:55
105729,TERMINAL PINHEIRINHO-BR476,06:15
105727,TERMINAL PINHEIRINHO-PIRATINI,06:25
150837,BAIRRO PIRATINI,06:45
105729,TERMINAL PINHEIRINHO-BR476,07:05
105727,TERMINAL PINHEIRINHO-PIRATINI,07:15
150837,BAIRRO PIRATINI,07:35
105729,TERMINAL PINHEIRINHO-BR476,08:01
105727,TERMINAL PINHEIRINHO-PIRATINI,08:11
150837,BAIRRO PIRATINI,08:31
