Linha,503
Tabela,002
num,ponto,horario
104303,TERMINAL BOQUEIRAO,05:26
108065,PRACA CARLOS GOMES,05:58
104303,TERMINAL BOQUEIRAO,06:31
108065,PRACA CARLOS GOMES,07:03
104303,TERMINAL BOQUEIRAO,07:37
108065,PRACA CARLOS GOMES,08:09
104303,TERMINAL BOQUEIRAO,08:43
108065,PRACA CARLOS GOMES,09:16
104303,TERMINAL BOQUEIRAO,09:50
108065,PRACA CARLOS GOMES,10:22
104303,TERMINAL BOQUEIRAO,10:56
108065,PRACA CARLOS GOMES,11:28
104303,TERMINAL BOQUEIRAO,12:03
108065,PRACA CARLOS GOMES,12:35
104303,TERMINAL BOQUEIRAO,13:10
108065,PRACA CARLOS GOMES,13:43
104303,TERMINAL BOQUEIRAO,14:18
108065,PRACA CARLOS GOMES,14:50
104303,TERMINAL BOQUEIRAO,15:24
108065,PRACA CARLOS GOMES,15:56
104303,TERMINAL BOQUEIRAO,16:30
108065,PRACA CARLOS GOMES,17:02
104303,TERMINAL BOQUEIRAO,17:36
108065,PRACA CARLOS GOMES,18:08
104303,TERMINAL BOQUEIRAO,18:43
108065,PRACA CARLOS GOMES,19:15
