Linha,X48
Tabela,001-2
num,ponto,horario
102014,PRACA RUI BARBOSA,16:35
110464,PRAÇA EUFRASIO CORREIA,16:44
102014,PRACA RUI BARBOSA,16:53
110464,PRAÇA EUFRASIO CORREIA,17:02
102014,PRACA RUI BARBOSA,17:11
110464,PRAÇA EUFRASIO CORREIA,17:20
102014,PRACA RUI BARBOSA,17:29
110464,PRAÇA EUFRASIO CORREIA,17:38
102014,PRACA RUI BARBOSA,17:47
110464,PRAÇA EUFRASIO CORREIA,17:56
102014,PRACA RUI BARBOSA,18:05
110464,PRAÇA EUFRASIO CORREIA,18:14
102014,PRACA RUI BARBOSA,18:23
110464,PRAÇA EUFRASIO CORREIA,18:32
102014,PRACA RUI BARBOSA,18:41
110464,PRAÇA EUFRASIO CORREIA,18:50
102014,PRACA RUI BARBOSA,18:59
110464,PRAÇA EUFRASIO CORREIA,19:08
102014,PRACA RUI BARBOSA,19:17
110464,PRAÇA EUFRASIO CORREIA,19:26
102014,PRACA RUI BARBOSA,19:35
