Linha,X48
Tabela,002
num,ponto,horario
110464,PRAÇA EUFRASIO CORREIA,06:17
102014,PRACA RUI BARBOSA,06:26
110464,PRAÇA EUFRASIO CORREIA,06:35
102014,PRACA RUI BARBOSA,06:44
110464,PRAÇA EUFRASIO CORREIA,06:53
102014,PRACA RUI BARBOSA,07:02
110464,PRAÇA EUFRASIO CORREIA,07:11
102014,PRACA RUI BARBOSA,07:20
110464,PRAÇA EUFRASIO CORREIA,07:29
102014,PRACA RUI BARBOSA,07:38
110464,PRAÇA EUFRASIO CORREIA,07:47
102014,PRACA RUI BARBOSA,07:56
110464,PRAÇA EUFRASIO CORREIA,08:05
102014,PRACA RUI BARBOSA,08:14
110464,PRAÇA EUFRASIO CORREIA,08:23
102014,PRACA RUI BARBOSA,08:32
110464,PRAÇA EUFRASIO CORREIA,08:39
102014,PRACA RUI BARBOSA,08:46
110464,PRAÇA EUFRASIO CORREIA,08:53
102014,PRACA RUI BARBOSA,09:00
110464,PRAÇA EUFRASIO CORREIA,09:07
102014,PRACA RUI BARBOSA,09:14
110464,PRAÇA EUFRASIO CORREIA,09:21
102014,PRACA RUI BARBOSA,09:28
110464,PRAÇA EUFRASIO CORREIA,09:35
102014,PRACA RUI BARBOSA,09:42
110464,PRAÇA EUFRASIO CORREIA,09:49
102014,PRACA RUI BARBOSA,09:56
110464,PRAÇA EUFRASIO CORREIA,10:03
102014,PRACA RUI BARBOSA,10:10
110464,PRAÇA EUFRASIO CORREIA,10:17
102014,PRACA RUI BARBOSA,10:24
110464,PRAÇA EUFRASIO CORREIA,10:31
102014,PRACA RUI BARBOSA,10:38
110464,PRAÇA EUFRASIO CORREIA,10:45
102014,PRACA RUI BARBOSA,10:52
110464,PRAÇA EUFRASIO CORREIA,10:59
102014,PRACA RUI BARBOSA,11:06
110464,PRAÇA EUFRASIO CORREIA,11:13
102014,PRACA RUI BARBOSA,11:20
110464,PRAÇA EUFRASIO CORREIA,11:27
102014,PRACA RUI BARBOSA,11:34
110464,PRAÇA EUFRASIO CORREIA,11:41
102014,PRACA RUI BARBOSA,11:48
110464,PRAÇA EUFRASIO CORREIA,11:55
102014,PRACA RUI BARBOSA,12:02
110464,PRAÇA EUFRASIO CORREIA,12:09
102014,PRACA RUI BARBOSA,12:16
110464,PRAÇA EUFRASIO CORREIA,12:23
102014,PRACA RUI BARBOSA,12:30
110464,PRAÇA EUFRASIO CORREIA,12:37
102014,PRACA RUI BARBOSA,12:44
110464,PRAÇA EUFRASIO CORREIA,12:51
102014,PRACA RUI BARBOSA,12:58
110464,PRAÇA EUFRASIO CORREIA,13:05
102014,PRACA RUI BARBOSA,13:12
110464,PRAÇA EUFRASIO CORREIA,13:19
102014,PRACA RUI BARBOSA,13:26
110464,PRAÇA EUFRASIO CORREIA,13:33
102014,PRACA RUI BARBOSA,13:40
110464,PRAÇA EUFRASIO CORREIA,13:47
102014,PRACA RUI BARBOSA,13:54
110464,PRAÇA EUFRASIO CORREIA,14:01
102014,PRACA RUI BARBOSA,14:08
110464,PRAÇA EUFRASIO CORREIA,14:15
102014,PRACA RUI BARBOSA,14:22
110464,PRAÇA EUFRASIO CORREIA,14:29
102014,PRACA RUI BARBOSA,14:36
110464,PRAÇA EUFRASIO CORREIA,14:43
102014,PRACA RUI BARBOSA,14:50
110464,PRAÇA EUFRASIO CORREIA,14:57
102014,PRACA RUI BARBOSA,15:04
110464,PRAÇA EUFRASIO CORREIA,15:11
102014,PRACA RUI BARBOSA,15:18
110464,PRAÇA EUFRASIO CORREIA,15:25
102014,PRACA RUI BARBOSA,15:32
110464,PRAÇA EUFRASIO CORREIA,15:39
102014,PRACA RUI BARBOSA,15:46
110464,PRAÇA EUFRASIO CORREIA,15:53
102014,PRACA RUI BARBOSA,16:00
110464,PRAÇA EUFRASIO CORREIA,16:07
102014,PRACA RUI BARBOSA,16:13
110464,PRAÇA EUFRASIO CORREIA,16:21
102014,PRACA RUI BARBOSA,16:26
110464,PRAÇA EUFRASIO CORREIA,16:35
102014,PRACA RUI BARBOSA,16:44
110464,PRAÇA EUFRASIO CORREIA,16:53
102014,PRACA RUI BARBOSA,17:02
110464,PRAÇA EUFRASIO CORREIA,17:11
102014,PRACA RUI BARBOSA,17:20
110464,PRAÇA EUFRASIO CORREIA,17:29
102014,PRACA RUI BARBOSA,17:38
110464,PRAÇA EUFRASIO CORREIA,17:47
102014,PRACA RUI BARBOSA,17:56
110464,PRAÇA EUFRASIO CORREIA,18:05
102014,PRACA RUI BARBOSA,18:14
110464,PRAÇA EUFRASIO CORREIA,18:23
102014,PRACA RUI BARBOSA,18:32
110464,PRAÇA EUFRASIO CORREIA,18:41
102014,PRACA RUI BARBOSA,18:50
110464,PRAÇA EUFRASIO CORREIA,18:59
102014,PRACA RUI BARBOSA,19:08
110464,PRAÇA EUFRASIO CORREIA,19:17
102014,PRACA RUI BARBOSA,19:26
110464,PRAÇA EUFRASIO CORREIA,19:35
102014,PRACA RUI BARBOSA,19:44
110464,PRAÇA EUFRASIO CORREIA,19:47
102014,PRACA RUI BARBOSA,19:54
110464,PRAÇA EUFRASIO CORREIA,19:59
102014,PRACA RUI BARBOSA,20:04
110464,PRAÇA EUFRASIO CORREIA,20:09
102014,PRACA RUI BARBOSA,20:14
110464,PRAÇA EUFRASIO CORREIA,20:19
102014,PRACA RUI BARBOSA,20:24
110464,PRAÇA EUFRASIO CORREIA,20:29
102014,PRACA RUI BARBOSA,20:34
110464,PRAÇA EUFRASIO CORREIA,20:39
102014,PRACA RUI BARBOSA,20:44
110464,PRAÇA EUFRASIO CORREIA,20:49
102014,PRACA RUI BARBOSA,20:54
110464,PRAÇA EUFRASIO CORREIA,20:59
102014,PRACA RUI BARBOSA,21:04
110464,PRAÇA EUFRASIO CORREIA,21:09
102014,PRACA RUI BARBOSA,21:14
110464,PRAÇA EUFRASIO CORREIA,21:19
102014,PRACA RUI BARBOSA,21:24
110464,PRAÇA EUFRASIO CORREIA,21:29
102014,PRACA RUI BARBOSA,21:34
110464,PRAÇA EUFRASIO CORREIA,21:39
102014,PRACA RUI BARBOSA,21:44
110464,PRAÇA EUFRASIO CORREIA,21:49
102014,PRACA RUI BARBOSA,21:54
110464,PRAÇA EUFRASIO CORREIA,21:59
102014,PRACA RUI BARBOSA,22:04
110464,PRAÇA EUFRASIO CORREIA,22:09
102014,PRACA RUI BARBOSA,22:14
110464,PRAÇA EUFRASIO CORREIA,22:19
102014,PRACA RUI BARBOSA,22:24
110464,PRAÇA EUFRASIO CORREIA,22:29
102014,PRACA RUI BARBOSA,22:34
110464,PRAÇA EUFRASIO CORREIA,22:39
102014,PRACA RUI BARBOSA,22:44
110464,PRAÇA EUFRASIO CORREIA,22:49
102014,PRACA RUI BARBOSA,22:54
110464,PRAÇA EUFRASIO CORREIA,22:59
102014,PRACA RUI BARBOSA,23:04
110464,PRAÇA EUFRASIO CORREIA,23:09
102014,PRACA RUI BARBOSA,23:14
110464,PRAÇA EUFRASIO CORREIA,23:19
102014,PRACA RUI BARBOSA,23:24
110464,PRAÇA EUFRASIO CORREIA,23:29
102014,PRACA RUI BARBOSA,23:34
110464,PRAÇA EUFRASIO CORREIA,23:39
102014,PRACA RUI BARBOSA,23:44
110464,PRAÇA EUFRASIO CORREIA,23:49
102014,PRACA RUI BARBOSA,23:54
110464,PRAÇA EUFRASIO CORREIA,23:59
102014,PRACA RUI BARBOSA,00:04
110464,PRAÇA EUFRASIO CORREIA,00:08
102014,PRACA RUI BARBOSA,00:12
