Linha,901
Tabela,002
num,ponto,horario
106007,TERMINAL SANTA FELICIDADE,05:59
101121,TRAVESSA NESTOR DE CASTRO,06:26
106007,TERMINAL SANTA FELICIDADE,06:53
101121,TRAVESSA NESTOR DE CASTRO,07:20
106007,TERMINAL SANTA FELICIDADE,07:50
101121,TRAVESSA NESTOR DE CASTRO,08:20
106007,TERMINAL SANTA FELICIDADE,08:50
101121,TRAVESSA NESTOR DE CASTRO,09:20
106007,TERMINAL SANTA FELICIDADE,09:50
101121,TRAVESSA NESTOR DE CASTRO,10:20
106007,TERMINAL SANTA FELICIDADE,10:50
101121,TRAVESSA NESTOR DE CASTRO,11:20
106007,TERMINAL SANTA FELICIDADE,11:50
101121,TRAVESSA NESTOR DE CASTRO,12:20
106007,TERMINAL SANTA FELICIDADE,12:50
101121,TRAVESSA NESTOR DE CASTRO,13:20
106007,TERMINAL SANTA FELICIDADE,13:50
101121,TRAVESSA NESTOR DE CASTRO,14:20
106007,TERMINAL SANTA FELICIDADE,14:50
101121,TRAVESSA NESTOR DE CASTRO,15:20
106007,TERMINAL SANTA FELICIDADE,15:50
101121,TRAVESSA NESTOR DE CASTRO,16:20
106007,TERMINAL SANTA FELICIDADE,16:50
101121,TRAVESSA NESTOR DE CASTRO,17:20
106007,TERMINAL SANTA FELICIDADE,17:50
101121,TRAVESSA NESTOR DE CASTRO,18:20
106007,TERMINAL SANTA FELICIDADE,18:50
101121,TRAVESSA NESTOR DE CASTRO,19:20
106007,TERMINAL SANTA FELICIDADE,19:50
101121,TRAVESSA NESTOR DE CASTRO,20:20
106007,TERMINAL SANTA FELICIDADE,20:50
101121,TRAVESSA NESTOR DE CASTRO,21:20
106007,TERMINAL SANTA FELICIDADE,21:50
101121,TRAVESSA NESTOR DE CASTRO,22:20
106007,TERMINAL SANTA FELICIDADE,22:50
101121,TRAVESSA NESTOR DE CASTRO,23:20
106007,TERMINAL SANTA FELICIDADE,23:50
101121,TRAVESSA NESTOR DE CASTRO,00:20
