Linha,307
Tabela,006-2
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,16:55
109055,TUBO NESTOR DE CASTRO,17:32
109121,TERMINAL SANTA FELICIDADE,17:55
109053,TUBO TIRADENTES,18:27
109120,TERMINAL BAIRRO ALTO,19:12
109055,TUBO NESTOR DE CASTRO,19:45
109121,TERMINAL SANTA FELICIDADE,20:09
109053,TUBO TIRADENTES,20:29
109120,TERMINAL BAIRRO ALTO,20:59
109055,TUBO NESTOR DE CASTRO,21:27
109121,TERMINAL SANTA FELICIDADE,21:47
109053,TUBO TIRADENTES,22:07
109120,TERMINAL BAIRRO ALTO,22:37
109055,TUBO NESTOR DE CASTRO,23:03
109121,TERMINAL SANTA FELICIDADE,23:23
109053,TUBO TIRADENTES,23:43
