Linha,307
Tabela,003-2
num,ponto,horario
109120,TERMINAL BAIRRO ALTO,17:16
109055,TUBO NESTOR DE CASTRO,17:58
109121,TERMINAL SANTA FELICIDADE,18:22
109053,TUBO TIRADENTES,18:55
109120,TERMINAL BAIRRO ALTO,19:32
109055,TUBO NESTOR DE CASTRO,20:02
109121,TERMINAL SANTA FELICIDADE,20:25
109053,TUBO TIRADENTES,20:45
109120,TERMINAL BAIRRO ALTO,21:15
109055,TUBO NESTOR DE CASTRO,21:44
109121,TERMINAL SANTA FELICIDADE,22:04
109053,TUBO TIRADENTES,22:24
109120,TERMINAL BAIRRO ALTO,22:53
109055,TUBO NESTOR DE CASTRO,23:18
109121,TERMINAL SANTA FELICIDADE,23:38
109053,TUBO TIRADENTES,23:57
