Linha,160
Tabela,002-2
num,ponto,horario
190896,BAIRRO MERCES,16:56
103510,RUA JOSE LOUREIRO,17:24
150907,BAIRRO GUANABARA,17:50
103507,AV.MAL.FLORIANO PEIXOTO,18:14
190896,BAIRRO MERCES,18:42
103510,RUA JOSE LOUREIRO,19:05
150907,BAIRRO GUANABARA,19:30
103507,AV.MAL.FLORIANO PEIXOTO,19:50
190896,BAIRRO MERCES,20:12
103510,RUA JOSE LOUREIRO,20:34
150907,BAIRRO GUANABARA,20:54
103507,AV.MAL.FLORIANO PEIXOTO,21:12
190896,BAIRRO MERCES,21:36
103510,RUA JOSE LOUREIRO,21:58
150907,BAIRRO GUANABARA,22:18
103507,AV.MAL.FLORIANO PEIXOTO,22:36
190896,BAIRRO MERCES,23:00
103510,RUA JOSE LOUREIRO,23:22
150907,BAIRRO GUANABARA,23:42
103507,AV.MAL.FLORIANO PEIXOTO,00:00
