Linha,216
Tabela,003
num,ponto,horario
104404,TERMINAL CABRAL,05:20
105806,TERMINAL PORTAO,05:50
104404,TERMINAL CABRAL,06:27
105806,TERMINAL PORTAO,07:12
104404,TERMINAL CABRAL,08:01
105806,TERMINAL PORTAO,08:56
104404,TERMINAL CABRAL,09:42
105806,TERMINAL PORTAO,10:25
104404,TERMINAL CABRAL,11:06
105806,TERMINAL PORTAO,11:50
104404,TERMINAL CABRAL,12:33
105806,TERMINAL PORTAO,13:19
104404,TERMINAL CABRAL,14:02
105806,TERMINAL PORTAO,14:49
104404,TERMINAL CABRAL,15:32
105806,TERMINAL PORTAO,16:22
104404,TERMINAL CABRAL,17:18
105806,TERMINAL PORTAO,18:29
