Linha,225
Tabela,001-3
num,ponto,horario
104206,TERMINAL BOA VISTA,16:48
104105,TERMINAL BARREIRINHA,17:04
104206,TERMINAL BOA VISTA,17:20
104105,TERMINAL BARREIRINHA,17:38
104206,TERMINAL BOA VISTA,17:54
104105,TERMINAL BARREIRINHA,18:12
104206,TERMINAL BOA VISTA,18:28
104105,TERMINAL BARREIRINHA,18:46
104206,TERMINAL BOA VISTA,19:02
104105,TERMINAL BARREIRINHA,19:18
104206,TERMINAL BOA VISTA,19:34
104105,TERMINAL BARREIRINHA,19:50
104206,TERMINAL BOA VISTA,20:06
104105,TERMINAL BARREIRINHA,20:22
104206,TERMINAL BOA VISTA,20:38
104105,TERMINAL BARREIRINHA,20:54
104206,TERMINAL BOA VISTA,21:10
104105,TERMINAL BARREIRINHA,21:26
104206,TERMINAL BOA VISTA,21:42
104105,TERMINAL BARREIRINHA,21:58
104206,TERMINAL BOA VISTA,22:14
104105,TERMINAL BARREIRINHA,22:30
104206,TERMINAL BOA VISTA,22:46
104105,TERMINAL BARREIRINHA,23:02
104206,TERMINAL BOA VISTA,23:18
104105,TERMINAL BARREIRINHA,23:34
104206,TERMINAL BOA VISTA,23:50
104105,TERMINAL BARREIRINHA,00:06
