Linha,206
Tabela,014-2
num,ponto,horario
109078,TERMINAL BARREIRINHA,16:11
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,16:44
441009,ESTACAO SAO JOSE DOS PINHAIS,17:28
109031,TUBO GUADALUPE/SENT.SECRETARIA,18:09
109078,TERMINAL BARREIRINHA,18:42
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,19:15
441009,ESTACAO SAO JOSE DOS PINHAIS,19:49
109031,TUBO GUADALUPE/SENT.SECRETARIA,20:20
109078,TERMINAL BARREIRINHA,20:43
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,21:06
441009,ESTACAO SAO JOSE DOS PINHAIS,21:39
109031,TUBO GUADALUPE/SENT.SECRETARIA,22:10
109078,TERMINAL BARREIRINHA,22:33
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,22:56
441009,ESTACAO SAO JOSE DOS PINHAIS,23:30
109031,TUBO GUADALUPE/SENT.SECRETARIA,23:56
