Linha,206
Tabela,001-2
num,ponto,horario
441009,ESTACAO SAO JOSE DOS PINHAIS,16:56
109031,TUBO GUADALUPE/SENT.SECRETARIA,17:37
109078,TERMINAL BARREIRINHA,18:10
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,18:43
441009,ESTACAO SAO JOSE DOS PINHAIS,19:27
109031,TUBO GUADALUPE/SENT.SECRETARIA,19:58
109078,TERMINAL BARREIRINHA,20:21
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,20:44
441009,ESTACAO SAO JOSE DOS PINHAIS,21:17
109031,TUBO GUADALUPE/SENT.SECRETARIA,21:48
109078,TERMINAL BARREIRINHA,22:11
109029,TUBO GUADALUPE/SENT.BOQUEIRÃO,22:34
441009,ESTACAO SAO JOSE DOS PINHAIS,23:07
109031,TUBO GUADALUPE/SENT.SECRETARIA,23:38
