Linha,X92
Tabela,001
num,ponto,horario
171111,EMPRESA REDENTOR,06:00
109067,E.T. ST. QUITERIA,07:05
108048,E.T. MORRETES,08:10
108034,E.T. CEL. DULCIDIO,09:45
109073,ESTACAO TUBO WESTPHALEN/B.NOVO,11:00
171111,EMPRESA REDENTOR,12:00
109067,E.T. ST. QUITERIA,13:15
108048,E.T. MORRETES,14:10
108034,E.T. CEL. DULCIDIO,15:25
109073,ESTACAO TUBO WESTPHALEN/B.NOVO,17:00
171111,EMPRESA REDENTOR,18:00
109067,E.T. ST. QUITERIA,19:15
108048,E.T. MORRETES,20:00
108034,E.T. CEL. DULCIDIO,21:35
109073,ESTACAO TUBO WESTPHALEN/B.NOVO,23:00
