Linha,502
Tabela,011
num,ponto,horario
106101,TERMINAL SITIO CERCADO,06:15
105702,TERMINAL PINHEIRINHO,06:28
105801,TERMINAL PORTAO,06:42
105502,TERMINAL HAUER,07:01
104301,TERMINAL BOQUEIRAO,07:14
106101,TERMINAL SITIO CERCADO,07:33
105702,TERMINAL PINHEIRINHO,07:46
105801,TERMINAL PORTAO,08:00
105502,TERMINAL HAUER,08:23
104301,TERMINAL BOQUEIRAO,08:35
106101,TERMINAL SITIO CERCADO,08:54
105702,TERMINAL PINHEIRINHO,09:06
105801,TERMINAL PORTAO,09:18
105502,TERMINAL HAUER,09:41
104301,TERMINAL BOQUEIRAO,09:53
106101,TERMINAL SITIO CERCADO,10:12
105702,TERMINAL PINHEIRINHO,10:25
105801,TERMINAL PORTAO,10:39
105502,TERMINAL HAUER,11:02
104301,TERMINAL BOQUEIRAO,11:14
106101,TERMINAL SITIO CERCADO,11:33
105702,TERMINAL PINHEIRINHO,11:46
105801,TERMINAL PORTAO,12:00
105502,TERMINAL HAUER,12:23
104301,TERMINAL BOQUEIRAO,12:35
106101,TERMINAL SITIO CERCADO,12:54
105702,TERMINAL PINHEIRINHO,13:07
105801,TERMINAL PORTAO,13:21
105502,TERMINAL HAUER,13:44
104301,TERMINAL BOQUEIRAO,13:56
106101,TERMINAL SITIO CERCADO,14:15
105702,TERMINAL PINHEIRINHO,14:28
105801,TERMINAL PORTAO,14:42
105502,TERMINAL HAUER,15:05
104301,TERMINAL BOQUEIRAO,15:17
106101,TERMINAL SITIO CERCADO,15:36
105702,TERMINAL PINHEIRINHO,15:49
105801,TERMINAL PORTAO,16:03
105502,TERMINAL HAUER,16:26
104301,TERMINAL BOQUEIRAO,16:38
106101,TERMINAL SITIO CERCADO,17:00
105702,TERMINAL PINHEIRINHO,17:13
105801,TERMINAL PORTAO,17:27
105502,TERMINAL HAUER,17:49
104301,TERMINAL BOQUEIRAO,18:02
106101,TERMINAL SITIO CERCADO,18:21
105702,TERMINAL PINHEIRINHO,18:34
105801,TERMINAL PORTAO,18:48
105502,TERMINAL HAUER,19:11
104301,TERMINAL BOQUEIRAO,19:23
106101,TERMINAL SITIO CERCADO,19:42
105702,TERMINAL PINHEIRINHO,19:54
105801,TERMINAL PORTAO,20:06
105502,TERMINAL HAUER,20:26
104301,TERMINAL BOQUEIRAO,20:38
106101,TERMINAL SITIO CERCADO,20:56
105702,TERMINAL PINHEIRINHO,21:09
105801,TERMINAL PORTAO,21:23
105502,TERMINAL HAUER,21:43
104301,TERMINAL BOQUEIRAO,21:55
106101,TERMINAL SITIO CERCADO,22:13
105702,TERMINAL PINHEIRINHO,22:26
105801,TERMINAL PORTAO,22:40
105502,TERMINAL HAUER,23:00
104301,TERMINAL BOQUEIRAO,23:12
106101,TERMINAL SITIO CERCADO,23:34
105702,TERMINAL PINHEIRINHO,23:47
105801,TERMINAL PORTAO,00:00
105502,TERMINAL HAUER,00:17
104301,TERMINAL BOQUEIRAO,00:30
