Linha,502
Tabela,014
num,ponto,horario
106101,TERMINAL SITIO CERCADO,17:38
105702,TERMINAL PINHEIRINHO,17:50
105801,TERMINAL PORTAO,18:04
105502,TERMINAL HAUER,18:27
104301,TERMINAL BOQUEIRAO,18:39
106101,TERMINAL SITIO CERCADO,18:58
105702,TERMINAL PINHEIRINHO,19:12
105801,TERMINAL PORTAO,19:27
105502,TERMINAL HAUER,19:48
104301,TERMINAL BOQUEIRAO,20:01
106101,TERMINAL SITIO CERCADO,20:23
105702,TERMINAL PINHEIRINHO,20:36
105801,TERMINAL PORTAO,20:50
105502,TERMINAL HAUER,21:10
104301,TERMINAL BOQUEIRAO,21:22
106101,TERMINAL SITIO CERCADO,21:40
105702,TERMINAL PINHEIRINHO,21:53
105801,TERMINAL PORTAO,22:07
105502,TERMINAL HAUER,22:27
104301,TERMINAL BOQUEIRAO,22:39
106101,TERMINAL SITIO CERCADO,22:57
105702,TERMINAL PINHEIRINHO,23:10
105801,TERMINAL PORTAO,23:24
105502,TERMINAL HAUER,23:44
104301,TERMINAL BOQUEIRAO,23:56
106101,TERMINAL SITIO CERCADO,00:14
