Linha,502
Tabela,004-1
num,ponto,horario
106101,TERMINAL SITIO CERCADO,05:15
105702,TERMINAL PINHEIRINHO,05:31
105801,TERMINAL PORTAO,05:42
105502,TERMINAL HAUER,06:00
104301,TERMINAL BOQUEIRAO,06:10
106101,TERMINAL SITIO CERCADO,06:26
105702,TERMINAL PINHEIRINHO,06:39
105801,TERMINAL PORTAO,06:53
105502,TERMINAL HAUER,07:16
104301,TERMINAL BOQUEIRAO,07:28
106101,TERMINAL SITIO CERCADO,07:47
105702,TERMINAL PINHEIRINHO,08:00
105801,TERMINAL PORTAO,08:14
105502,TERMINAL HAUER,08:37
104301,TERMINAL BOQUEIRAO,08:49
106101,TERMINAL SITIO CERCADO,09:07
