Linha,502
Tabela,001
num,ponto,horario
104301,TERMINAL BOQUEIRAO,05:05
106101,TERMINAL SITIO CERCADO,05:23
105702,TERMINAL PINHEIRINHO,05:37
105801,TERMINAL PORTAO,05:48
105502,TERMINAL HAUER,06:08
104301,TERMINAL BOQUEIRAO,06:20
106101,TERMINAL SITIO CERCADO,06:38
105702,TERMINAL PINHEIRINHO,06:51
105801,TERMINAL PORTAO,07:05
105502,TERMINAL HAUER,07:28
104301,TERMINAL BOQUEIRAO,07:40
106101,TERMINAL SITIO CERCADO,07:59
105702,TERMINAL PINHEIRINHO,08:12
105801,TERMINAL PORTAO,08:27
105502,TERMINAL HAUER,08:49
