Linha,X48
Tabela,001
num,ponto,horario
110464,PRAÇA EUFRASIO CORREIA,05:54
102014,PRACA RUI BARBOSA,06:01
110464,PRAÇA EUFRASIO CORREIA,06:08
102014,PRACA RUI BARBOSA,06:15
110464,PRAÇA EUFRASIO CORREIA,06:22
102014,PRACA RUI BARBOSA,06:29
110464,PRAÇA EUFRASIO CORREIA,06:36
102014,PRACA RUI BARBOSA,06:43
110464,PRAÇA EUFRASIO CORREIA,06:50
102014,PRACA RUI BARBOSA,06:57
110464,PRAÇA EUFRASIO CORREIA,07:04
102014,PRACA RUI BARBOSA,07:11
110464,PRAÇA EUFRASIO CORREIA,07:18
102014,PRACA RUI BARBOSA,07:25
110464,PRAÇA EUFRASIO CORREIA,07:32
102014,PRACA RUI BARBOSA,07:39
110464,PRAÇA EUFRASIO CORREIA,07:46
102014,PRACA RUI BARBOSA,07:53
110464,PRAÇA EUFRASIO CORREIA,08:00
102014,PRACA RUI BARBOSA,08:07
110464,PRAÇA EUFRASIO CORREIA,08:14
102014,PRACA RUI BARBOSA,08:21
110464,PRAÇA EUFRASIO CORREIA,08:28
102014,PRACA RUI BARBOSA,08:35
110464,PRAÇA EUFRASIO CORREIA,08:42
102014,PRACA RUI BARBOSA,08:49
110464,PRAÇA EUFRASIO CORREIA,08:56
102014,PRACA RUI BARBOSA,09:03
110464,PRAÇA EUFRASIO CORREIA,09:10
102014,PRACA RUI BARBOSA,09:17
110464,PRAÇA EUFRASIO CORREIA,09:24
102014,PRACA RUI BARBOSA,09:31
110464,PRAÇA EUFRASIO CORREIA,09:38
102014,PRACA RUI BARBOSA,09:45
110464,PRAÇA EUFRASIO CORREIA,09:52
102014,PRACA RUI BARBOSA,09:59
110464,PRAÇA EUFRASIO CORREIA,10:06
102014,PRACA RUI BARBOSA,10:13
110464,PRAÇA EUFRASIO CORREIA,10:20
102014,PRACA RUI BARBOSA,10:27
110464,PRAÇA EUFRASIO CORREIA,10:34
102014,PRACA RUI BARBOSA,10:41
110464,PRAÇA EUFRASIO CORREIA,10:48
102014,PRACA RUI BARBOSA,10:55
110464,PRAÇA EUFRASIO CORREIA,11:02
102014,PRACA RUI BARBOSA,11:09
110464,PRAÇA EUFRASIO CORREIA,11:16
102014,PRACA RUI BARBOSA,11:23
110464,PRAÇA EUFRASIO CORREIA,11:30
102014,PRACA RUI BARBOSA,11:37
110464,PRAÇA EUFRASIO CORREIA,11:44
102014,PRACA RUI BARBOSA,11:51
110464,PRAÇA EUFRASIO CORREIA,11:58
102014,PRACA RUI BARBOSA,12:05
110464,PRAÇA EUFRASIO CORREIA,12:12
102014,PRACA RUI BARBOSA,12:19
110464,PRAÇA EUFRASIO CORREIA,12:26
102014,PRACA RUI BARBOSA,12:33
110464,PRAÇA EUFRASIO CORREIA,12:40
102014,PRACA RUI BARBOSA,12:47
110464,PRAÇA EUFRASIO CORREIA,12:54
102014,PRACA RUI BARBOSA,13:01
110464,PRAÇA EUFRASIO CORREIA,13:08
102014,PRACA RUI BARBOSA,13:15
110464,PRAÇA EUFRASIO CORREIA,13:22
102014,PRACA RUI BARBOSA,13:29
110464,PRAÇA EUFRASIO CORREIA,13:36
102014,PRACA RUI BARBOSA,13:43
110464,PRAÇA EUFRASIO CORREIA,13:50
102014,PRACA RUI BARBOSA,13:57
110464,PRAÇA EUFRASIO CORREIA,14:04
102014,PRACA RUI BARBOSA,14:11
110464,PRAÇA EUFRASIO CORREIA,14:18
102014,PRACA RUI BARBOSA,14:25
110464,PRAÇA EUFRASIO CORREIA,14:32
102014,PRACA RUI BARBOSA,14:39
110464,PRAÇA EUFRASIO CORREIA,14:46
102014,PRACA RUI BARBOSA,14:53
110464,PRAÇA EUFRASIO CORREIA,15:00
102014,PRACA RUI BARBOSA,15:07
110464,PRAÇA EUFRASIO CORREIA,15:14
102014,PRACA RUI BARBOSA,15:21
110464,PRAÇA EUFRASIO CORREIA,15:28
102014,PRACA RUI BARBOSA,15:35
110464,PRAÇA EUFRASIO CORREIA,15:42
102014,PRACA RUI BARBOSA,15:49
110464,PRAÇA EUFRASIO CORREIA,15:56
102014,PRACA RUI BARBOSA,16:03
110464,PRAÇA EUFRASIO CORREIA,16:10
102014,PRACA RUI BARBOSA,16:17
110464,PRAÇA EUFRASIO CORREIA,16:24
102014,PRACA RUI BARBOSA,16:31
110464,PRAÇA EUFRASIO CORREIA,16:38
102014,PRACA RUI BARBOSA,16:45
110464,PRAÇA EUFRASIO CORREIA,16:52
102014,PRACA RUI BARBOSA,16:59
110464,PRAÇA EUFRASIO CORREIA,17:06
102014,PRACA RUI BARBOSA,17:13
110464,PRAÇA EUFRASIO CORREIA,17:20
102014,PRACA RUI BARBOSA,17:27
110464,PRAÇA EUFRASIO CORREIA,17:34
102014,PRACA RUI BARBOSA,17:41
110464,PRAÇA EUFRASIO CORREIA,17:48
102014,PRACA RUI BARBOSA,17:55
110464,PRAÇA EUFRASIO CORREIA,18:02
102014,PRACA RUI BARBOSA,18:09
110464,PRAÇA EUFRASIO CORREIA,18:16
102014,PRACA RUI BARBOSA,18:23
110464,PRAÇA EUFRASIO CORREIA,18:30
102014,PRACA RUI BARBOSA,18:37
110464,PRAÇA EUFRASIO CORREIA,18:44
102014,PRACA RUI BARBOSA,18:51
110464,PRAÇA EUFRASIO CORREIA,18:58
102014,PRACA RUI BARBOSA,19:05
110464,PRAÇA EUFRASIO CORREIA,19:12
102014,PRACA RUI BARBOSA,19:19
110464,PRAÇA EUFRASIO CORREIA,19:26
102014,PRACA RUI BARBOSA,19:33
110464,PRAÇA EUFRASIO CORREIA,19:40
102014,PRACA RUI BARBOSA,19:47
110464,PRAÇA EUFRASIO CORREIA,19:54
102014,PRACA RUI BARBOSA,20:01
110464,PRAÇA EUFRASIO CORREIA,20:08
102014,PRACA RUI BARBOSA,20:15
110464,PRAÇA EUFRASIO CORREIA,20:22
102014,PRACA RUI BARBOSA,20:29
110464,PRAÇA EUFRASIO CORREIA,20:36
102014,PRACA RUI BARBOSA,20:43
110464,PRAÇA EUFRASIO CORREIA,20:50
102014,PRACA RUI BARBOSA,20:57
110464,PRAÇA EUFRASIO CORREIA,21:04
102014,PRACA RUI BARBOSA,21:11
110464,PRAÇA EUFRASIO CORREIA,21:18
102014,PRACA RUI BARBOSA,21:25
110464,PRAÇA EUFRASIO CORREIA,21:32
102014,PRACA RUI BARBOSA,21:39
110464,PRAÇA EUFRASIO CORREIA,21:46
102014,PRACA RUI BARBOSA,21:53
110464,PRAÇA EUFRASIO CORREIA,22:00
102014,PRACA RUI BARBOSA,22:07
110464,PRAÇA EUFRASIO CORREIA,22:14
102014,PRACA RUI BARBOSA,22:21
110464,PRAÇA EUFRASIO CORREIA,22:28
102014,PRACA RUI BARBOSA,22:35
110464,PRAÇA EUFRASIO CORREIA,22:42
102014,PRACA RUI BARBOSA,22:49
110464,PRAÇA EUFRASIO CORREIA,22:56
102014,PRACA RUI BARBOSA,23:03
110464,PRAÇA EUFRASIO CORREIA,23:10
102014,PRACA RUI BARBOSA,23:17
110464,PRAÇA EUFRASIO CORREIA,23:24
102014,PRACA RUI BARBOSA,23:31
110464,PRAÇA EUFRASIO CORREIA,23:38
102014,PRACA RUI BARBOSA,23:45
110464,PRAÇA EUFRASIO CORREIA,23:52
