Linha,X50
Tabela,001
num,ponto,horario
104508,TERMINAL CAMPINA DO SIQUEIRA,08:30
104508,TERMINAL CAMPINA DO SIQUEIRA,08:59
104508,TERMINAL CAMPINA DO SIQUEIRA,09:29
104508,TERMINAL CAMPINA DO SIQUEIRA,09:59
104508,TERMINAL CAMPINA DO SIQUEIRA,10:29
104508,TERMINAL CAMPINA DO SIQUEIRA,10:59
104508,TERMINAL CAMPINA DO SIQUEIRA,11:29
104508,TERMINAL CAMPINA DO SIQUEIRA,11:59
104508,TERMINAL CAMPINA DO SIQUEIRA,12:29
104508,TERMINAL CAMPINA DO SIQUEIRA,12:59
104508,TERMINAL CAMPINA DO SIQUEIRA,13:29
104508,TERMINAL CAMPINA DO SIQUEIRA,13:59
104508,TERMINAL CAMPINA DO SIQUEIRA,14:29
104508,TERMINAL CAMPINA DO SIQUEIRA,14:59
104508,TERMINAL CAMPINA DO SIQUEIRA,15:29
104508,TERMINAL CAMPINA DO SIQUEIRA,15:59
104508,TERMINAL CAMPINA DO SIQUEIRA,16:42
104508,TERMINAL CAMPINA DO SIQUEIRA,17:27
104508,TERMINAL CAMPINA DO SIQUEIRA,18:12
104508,TERMINAL CAMPINA DO SIQUEIRA,18:57
104508,TERMINAL CAMPINA DO SIQUEIRA,19:39
104508,TERMINAL CAMPINA DO SIQUEIRA,20:12
104508,TERMINAL CAMPINA DO SIQUEIRA,20:45
104508,TERMINAL CAMPINA DO SIQUEIRA,21:18
