Linha,541
Tabela,006-2
num,ponto,horario
106103,TERMINAL SITIO CERCADO,15:55
160115,BAIRRO NOVO A,16:09
106103,TERMINAL SITIO CERCADO,16:25
160115,BAIRRO NOVO A,16:39
106103,TERMINAL SITIO CERCADO,16:55
160115,BAIRRO NOVO A,17:09
106103,TERMINAL SITIO CERCADO,17:25
160115,BAIRRO NOVO A,17:39
106103,TERMINAL SITIO CERCADO,17:55
160115,BAIRRO NOVO A,18:09
106103,TERMINAL SITIO CERCADO,18:25
160115,BAIRRO NOVO A,18:39
106103,TERMINAL SITIO CERCADO,18:55
160115,BAIRRO NOVO A,19:09
106103,TERMINAL SITIO CERCADO,19:25
160115,BAIRRO NOVO A,19:39
