Linha,541
Tabela,004-2
num,ponto,horario
106103,TERMINAL SITIO CERCADO,16:10
160115,BAIRRO NOVO A,16:24
106103,TERMINAL SITIO CERCADO,16:40
160115,BAIRRO NOVO A,16:54
106103,TERMINAL SITIO CERCADO,17:10
160115,BAIRRO NOVO A,17:24
106103,TERMINAL SITIO CERCADO,17:40
160115,BAIRRO NOVO A,17:54
106103,TERMINAL SITIO CERCADO,18:10
160115,BAIRRO NOVO A,18:24
106103,TERMINAL SITIO CERCADO,18:40
160115,BAIRRO NOVO A,18:54
106103,TERMINAL SITIO CERCADO,19:10
160115,BAIRRO NOVO A,19:24
106103,TERMINAL SITIO CERCADO,19:40
160115,BAIRRO NOVO A,19:54
