Linha,801
Tabela,005-2
num,ponto,horario
104507,TERMINAL CAMPINA DO SIQUEIRA,11:45
103502,PRACA ZACARIAS,12:16
104507,TERMINAL CAMPINA DO SIQUEIRA,12:41
103502,PRACA ZACARIAS,13:15
104507,TERMINAL CAMPINA DO SIQUEIRA,13:40
103502,PRACA ZACARIAS,14:12
104507,TERMINAL CAMPINA DO SIQUEIRA,14:40
103502,PRACA ZACARIAS,15:13
104507,TERMINAL CAMPINA DO SIQUEIRA,15:40
103502,PRACA ZACARIAS,16:13
104507,TERMINAL CAMPINA DO SIQUEIRA,16:46
103502,PRACA ZACARIAS,17:28
104507,TERMINAL CAMPINA DO SIQUEIRA,18:07
103502,PRACA ZACARIAS,18:49
104507,TERMINAL CAMPINA DO SIQUEIRA,19:26
103502,PRACA ZACARIAS,19:50
104507,TERMINAL CAMPINA DO SIQUEIRA,20:10
103502,PRACA ZACARIAS,20:33
104507,TERMINAL CAMPINA DO SIQUEIRA,20:54
103502,PRACA ZACARIAS,21:16
104507,TERMINAL CAMPINA DO SIQUEIRA,21:38
103502,PRACA ZACARIAS,21:59
104507,TERMINAL CAMPINA DO SIQUEIRA,22:20
103502,PRACA ZACARIAS,22:42
104507,TERMINAL CAMPINA DO SIQUEIRA,23:00
103502,PRACA ZACARIAS,23:21
104507,TERMINAL CAMPINA DO SIQUEIRA,23:39
103502,PRACA ZACARIAS,00:00
