Linha,304
Tabela,006-2
num,ponto,horario
109052,TUBO TIRADENTES,15:50
109143,TUBO TERMINAL PINHAIS,16:23
109054,TUBO NESTOR DE CASTRO,16:51
109043,TUBO CIC NORTE,17:18
109052,TUBO TIRADENTES,17:48
109143,TUBO TERMINAL PINHAIS,18:29
109054,TUBO NESTOR DE CASTRO,19:00
109043,TUBO CIC NORTE,19:29
109052,TUBO TIRADENTES,19:56
109143,TUBO TERMINAL PINHAIS,20:27
109054,TUBO NESTOR DE CASTRO,20:52
109043,TUBO CIC NORTE,21:18
109052,TUBO TIRADENTES,21:43
109143,TUBO TERMINAL PINHAIS,22:13
109054,TUBO NESTOR DE CASTRO,22:38
109043,TUBO CIC NORTE,23:04
109052,TUBO TIRADENTES,23:29
