Linha,304
Tabela,009-2
num,ponto,horario
109052,TUBO TIRADENTES,16:04
109143,TUBO TERMINAL PINHAIS,16:37
109054,TUBO NESTOR DE CASTRO,17:06
109043,TUBO CIC NORTE,17:38
109052,TUBO TIRADENTES,18:08
109143,TUBO TERMINAL PINHAIS,18:50
109054,TUBO NESTOR DE CASTRO,19:19
109043,TUBO CIC NORTE,19:49
109052,TUBO TIRADENTES,20:14
109143,TUBO TERMINAL PINHAIS,20:44
109054,TUBO NESTOR DE CASTRO,21:09
109043,TUBO CIC NORTE,21:35
109052,TUBO TIRADENTES,22:00
109143,TUBO TERMINAL PINHAIS,22:30
109054,TUBO NESTOR DE CASTRO,22:55
109043,TUBO CIC NORTE,23:21
109052,TUBO TIRADENTES,23:46
