Linha,207
Tabela,004-2
num,ponto,horario
103303,PRACA GENERAL OSORIO,16:48
104412,TERMINAL CABRAL,17:28
103303,PRACA GENERAL OSORIO,18:00
104412,TERMINAL CABRAL,18:44
103303,PRACA GENERAL OSORIO,19:14
104412,TERMINAL CABRAL,19:44
103303,PRACA GENERAL OSORIO,20:08
104412,TERMINAL CABRAL,20:38
103303,PRACA GENERAL OSORIO,21:00
104412,TERMINAL CABRAL,21:30
103303,PRACA GENERAL OSORIO,21:52
104412,TERMINAL CABRAL,22:22
103303,PRACA GENERAL OSORIO,22:44
104412,TERMINAL CABRAL,23:14
103303,PRACA GENERAL OSORIO,23:36
