Linha,207
Tabela,001
num,ponto,horario
104412,TERMINAL CABRAL,05:42
103303,PRACA GENERAL OSORIO,06:09
104412,TERMINAL CABRAL,06:40
103303,PRACA GENERAL OSORIO,07:07
104412,TERMINAL CABRAL,07:37
103303,PRACA GENERAL OSORIO,08:08
104412,TERMINAL CABRAL,08:41
103303,PRACA GENERAL OSORIO,09:16
104412,TERMINAL CABRAL,09:49
103303,PRACA GENERAL OSORIO,10:16
104412,TERMINAL CABRAL,10:49
103303,PRACA GENERAL OSORIO,11:16
104412,TERMINAL CABRAL,11:49
103303,PRACA GENERAL OSORIO,12:16
104412,TERMINAL CABRAL,12:52
103303,PRACA GENERAL OSORIO,13:20
104412,TERMINAL CABRAL,13:55
103303,PRACA GENERAL OSORIO,14:22
104412,TERMINAL CABRAL,14:55
103303,PRACA GENERAL OSORIO,15:22
104412,TERMINAL CABRAL,15:56
103303,PRACA GENERAL OSORIO,16:24
104412,TERMINAL CABRAL,17:00
103303,PRACA GENERAL OSORIO,17:28
104412,TERMINAL CABRAL,18:12
103303,PRACA GENERAL OSORIO,18:43
104412,TERMINAL CABRAL,19:17
103303,PRACA GENERAL OSORIO,19:42
104412,TERMINAL CABRAL,20:11
103303,PRACA GENERAL OSORIO,20:34
104412,TERMINAL CABRAL,21:04
103303,PRACA GENERAL OSORIO,21:26
104412,TERMINAL CABRAL,21:56
103303,PRACA GENERAL OSORIO,22:18
104412,TERMINAL CABRAL,22:48
103303,PRACA GENERAL OSORIO,23:10
104412,TERMINAL CABRAL,23:40
103303,PRACA GENERAL OSORIO,00:02
