Linha,979
Tabela,004
num,ponto,horario
101016,PRACA TIRADENTES,09:10
110206,RUA DAS FLORES,09:16
110093,RUA 24 HORAS,09:30
110212,MUSEU FERROVIARIO,09:39
140277,TEATRO PAIOL,09:48
140104,PARQUE JARDIM BOTANICO,10:00
110021,MERC.MUNICIPAL/RODOFERROVIARIA,10:09
110092,TEATRO GUAIRA/UNIV.FEDERAL PR,10:15
110001,PACO DA LIBERDADE,10:21
110002,MEMORIAL ARABE,10:26
120461,CENTRO CIVICO,10:29
120573,BOSQUE DO PAPA,10:33
120542,MUSEU OSCAR NIEMEYER,10:38
190419,BOSQUE ALEMAO,10:48
120543,UNIV.LIVRE DO MEIO AMBIENTE,10:54
120718,PQ.SAO LOURENCO (SENT.BARREIRINHA),11:02
120074,OPERA DE ARAME,11:06
120586,PARQUE TANGUA,11:12
190363,PARQUE TINGUI,11:19
190361,MEMORIAL UCRANIANO,11:23
190550,PORTAL ITALIANO,11:31
190969,SANTA FELICIDADE,11:41
190941,PARQUE BARIGUI,11:53
190211,TORRE PANORAMICA,11:58
110325,SETOR HISTORICO,12:06
101016,PRACA TIRADENTES,12:10
110206,RUA DAS FLORES,12:16
110093,RUA 24 HORAS,12:30
110212,MUSEU FERROVIARIO,12:39
140277,TEATRO PAIOL,12:48
140104,PARQUE JARDIM BOTANICO,13:00
110021,MERC.MUNICIPAL/RODOFERROVIARIA,13:09
110092,TEATRO GUAIRA/UNIV.FEDERAL PR,13:15
110001,PACO DA LIBERDADE,13:21
110002,MEMORIAL ARABE,13:26
120461,CENTRO CIVICO,13:29
120573,BOSQUE DO PAPA,13:33
120542,MUSEU OSCAR NIEMEYER,13:38
190419,BOSQUE ALEMAO,13:48
120543,UNIV.LIVRE DO MEIO AMBIENTE,13:54
120718,PQ.SAO LOURENCO (SENT.BARREIRINHA),14:02
120074,OPERA DE ARAME,14:06
120586,PARQUE TANGUA,14:12
190363,PARQUE TINGUI,14:19
190361,MEMORIAL UCRANIANO,14:23
190550,PORTAL ITALIANO,14:31
190969,SANTA FELICIDADE,14:41
190941,PARQUE BARIGUI,14:53
190211,TORRE PANORAMICA,14:58
110325,SETOR HISTORICO,15:06
101016,PRACA TIRADENTES,15:10
110206,RUA DAS FLORES,15:16
110093,RUA 24 HORAS,15:30
110212,MUSEU FERROVIARIO,15:39
140277,TEATRO PAIOL,15:48
140104,PARQUE JARDIM BOTANICO,16:00
110021,MERC.MUNICIPAL/RODOFERROVIARIA,16:09
110092,TEATRO GUAIRA/UNIV.FEDERAL PR,16:15
110001,PACO DA LIBERDADE,16:21
110002,MEMORIAL ARABE,16:26
120461,CENTRO CIVICO,16:29
120573,BOSQUE DO PAPA,16:33
120542,MUSEU OSCAR NIEMEYER,16:38
190419,BOSQUE ALEMAO,16:48
120543,UNIV.LIVRE DO MEIO AMBIENTE,16:54
120718,PQ.SAO LOURENCO (SENT.BARREIRINHA),17:02
120074,OPERA DE ARAME,17:06
120586,PARQUE TANGUA,17:12
190363,PARQUE TINGUI,17:19
190361,MEMORIAL UCRANIANO,17:23
190550,PORTAL ITALIANO,17:31
190969,SANTA FELICIDADE,17:41
190941,PARQUE BARIGUI,17:53
190211,TORRE PANORAMICA,17:58
110325,SETOR HISTORICO,18:06
101016,PRACA TIRADENTES,18:10
110206,RUA DAS FLORES,18:16
