Linha,816
Tabela,004-2
num,ponto,horario
104504,TERMINAL CAMPINA DO SIQUEIRA,15:52
106002,TERMINAL SANTA FELICIDADE,16:14
104504,TERMINAL CAMPINA DO SIQUEIRA,16:40
106002,TERMINAL SANTA FELICIDADE,17:03
104504,TERMINAL CAMPINA DO SIQUEIRA,17:30
106002,TERMINAL SANTA FELICIDADE,17:55
104504,TERMINAL CAMPINA DO SIQUEIRA,18:23
106002,TERMINAL SANTA FELICIDADE,18:49
104504,TERMINAL CAMPINA DO SIQUEIRA,19:15
106002,TERMINAL SANTA FELICIDADE,19:41
104504,TERMINAL CAMPINA DO SIQUEIRA,20:03
106002,TERMINAL SANTA FELICIDADE,20:23
104504,TERMINAL CAMPINA DO SIQUEIRA,20:45
106002,TERMINAL SANTA FELICIDADE,21:05
104504,TERMINAL CAMPINA DO SIQUEIRA,21:27
106002,TERMINAL SANTA FELICIDADE,21:47
104504,TERMINAL CAMPINA DO SIQUEIRA,22:08
106002,TERMINAL SANTA FELICIDADE,22:28
104504,TERMINAL CAMPINA DO SIQUEIRA,22:49
106002,TERMINAL SANTA FELICIDADE,23:10
104504,TERMINAL CAMPINA DO SIQUEIRA,23:32
106002,TERMINAL SANTA FELICIDADE,23:48
104504,TERMINAL CAMPINA DO SIQUEIRA,00:04
