Linha,708
Tabela,002
num,ponto,horario
106117,TERMINAL SITIO CERCADO,05:32
171105,TERMINAL TATUQUARA,06:10
106117,TERMINAL SITIO CERCADO,06:52
171105,TERMINAL TATUQUARA,07:30
106117,TERMINAL SITIO CERCADO,08:12
171105,TERMINAL TATUQUARA,08:50
106117,TERMINAL SITIO CERCADO,09:32
171105,TERMINAL TATUQUARA,10:10
106117,TERMINAL SITIO CERCADO,10:52
171105,TERMINAL TATUQUARA,11:34
106117,TERMINAL SITIO CERCADO,12:16
171105,TERMINAL TATUQUARA,12:58
106117,TERMINAL SITIO CERCADO,13:40
171105,TERMINAL TATUQUARA,14:22
106117,TERMINAL SITIO CERCADO,15:04
171105,TERMINAL TATUQUARA,15:44
106117,TERMINAL SITIO CERCADO,16:26
171105,TERMINAL TATUQUARA,17:04
106117,TERMINAL SITIO CERCADO,17:46
171105,TERMINAL TATUQUARA,18:24
106117,TERMINAL SITIO CERCADO,19:06
171105,TERMINAL TATUQUARA,19:44
