Linha,602
Tabela,007
num,ponto,horario
105703,TERMINAL PINHEIRINHO,06:13
106102,TERMINAL SITIO CERCADO,06:28
104304,TERMINAL BOQUEIRAO,06:45
105503,TERMINAL HAUER,07:00
105802,TERMINAL PORTAO,07:24
105703,TERMINAL PINHEIRINHO,07:41
106102,TERMINAL SITIO CERCADO,07:57
104304,TERMINAL BOQUEIRAO,08:14
105503,TERMINAL HAUER,08:28
105802,TERMINAL PORTAO,08:50
105703,TERMINAL PINHEIRINHO,09:06
106102,TERMINAL SITIO CERCADO,09:19
104304,TERMINAL BOQUEIRAO,09:36
105503,TERMINAL HAUER,09:50
105802,TERMINAL PORTAO,10:14
105703,TERMINAL PINHEIRINHO,10:31
106102,TERMINAL SITIO CERCADO,10:46
104304,TERMINAL BOQUEIRAO,11:03
105503,TERMINAL HAUER,11:18
105802,TERMINAL PORTAO,11:40
105703,TERMINAL PINHEIRINHO,11:57
106102,TERMINAL SITIO CERCADO,12:12
104304,TERMINAL BOQUEIRAO,12:29
105503,TERMINAL HAUER,12:44
105802,TERMINAL PORTAO,13:06
105703,TERMINAL PINHEIRINHO,13:23
106102,TERMINAL SITIO CERCADO,13:38
104304,TERMINAL BOQUEIRAO,13:55
105503,TERMINAL HAUER,14:10
105802,TERMINAL PORTAO,14:32
105703,TERMINAL PINHEIRINHO,14:49
106102,TERMINAL SITIO CERCADO,15:04
104304,TERMINAL BOQUEIRAO,15:21
105503,TERMINAL HAUER,15:36
105802,TERMINAL PORTAO,16:00
105703,TERMINAL PINHEIRINHO,16:17
106102,TERMINAL SITIO CERCADO,16:31
104304,TERMINAL BOQUEIRAO,16:48
105503,TERMINAL HAUER,17:02
105802,TERMINAL PORTAO,17:25
105703,TERMINAL PINHEIRINHO,17:42
106102,TERMINAL SITIO CERCADO,17:57
104304,TERMINAL BOQUEIRAO,18:14
105503,TERMINAL HAUER,18:29
105802,TERMINAL PORTAO,18:52
105703,TERMINAL PINHEIRINHO,19:09
106102,TERMINAL SITIO CERCADO,19:24
104304,TERMINAL BOQUEIRAO,19:41
105503,TERMINAL HAUER,19:56
105802,TERMINAL PORTAO,20:20
105703,TERMINAL PINHEIRINHO,20:37
106102,TERMINAL SITIO CERCADO,20:52
104304,TERMINAL BOQUEIRAO,21:09
105503,TERMINAL HAUER,21:24
105802,TERMINAL PORTAO,21:45
105703,TERMINAL PINHEIRINHO,22:01
106102,TERMINAL SITIO CERCADO,22:16
104304,TERMINAL BOQUEIRAO,22:33
105503,TERMINAL HAUER,22:48
105802,TERMINAL PORTAO,23:08
105703,TERMINAL PINHEIRINHO,23:25
