Linha,709
Tabela,002-2
num,ponto,horario
105939,TERMINAL CIC,16:51
180811,RUA DR.MARIO JORGE,17:21
105939,TERMINAL CIC,17:49
181114,PRINCESA DOS CAMPOS (BAIRRO),18:08
180811,RUA DR.MARIO JORGE,18:23
105939,TERMINAL CIC,18:51
180811,RUA DR.MARIO JORGE,19:21
105939,TERMINAL CIC,19:45
180811,RUA DR.MARIO JORGE,20:09
105939,TERMINAL CIC,20:29
180811,RUA DR.MARIO JORGE,20:53
105939,TERMINAL CIC,21:13
180811,RUA DR.MARIO JORGE,21:37
105939,TERMINAL CIC,21:57
180811,RUA DR.MARIO JORGE,22:21
105939,TERMINAL CIC,22:41
180811,RUA DR.MARIO JORGE,23:05
105939,TERMINAL CIC,23:25
180811,RUA DR.MARIO JORGE,23:49
105939,TERMINAL CIC,00:09
