Linha,X06
Tabela,2
num,ponto,horario
106115,TERMINAL SITIO CERCADO,10:00
160160,BAIRRO ZOOLOGICO,10:30
106115,TERMINAL SITIO CERCADO,11:00
160160,BAIRRO ZOOLOGICO,11:30
106115,TERMINAL SITIO CERCADO,12:00
160160,BAIRRO ZOOLOGICO,12:30
106115,TERMINAL SITIO CERCADO,13:00
160160,BAIRRO ZOOLOGICO,13:30
106115,TERMINAL SITIO CERCADO,14:00
160160,BAIRRO ZOOLOGICO,14:30
106115,TERMINAL SITIO CERCADO,15:00
160160,BAIRRO ZOOLOGICO,15:30
106115,TERMINAL SITIO CERCADO,16:00
160160,BAIRRO ZOOLOGICO,16:30
106115,TERMINAL SITIO CERCADO,17:00
160160,BAIRRO ZOOLOGICO,17:30
