Linha,528
Tabela,003
num,ponto,horario
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),05:30
104911,TERMINAL BOQUEIRAO,05:55
105917,TERMINAL PINHEIRINHO,06:47
104911,TERMINAL BOQUEIRAO,07:39
105917,TERMINAL PINHEIRINHO,08:34
104911,TERMINAL BOQUEIRAO,09:27
105917,TERMINAL PINHEIRINHO,10:22
104911,TERMINAL BOQUEIRAO,11:16
105917,TERMINAL PINHEIRINHO,12:11
104911,TERMINAL BOQUEIRAO,13:06
105917,TERMINAL PINHEIRINHO,13:58
104911,TERMINAL BOQUEIRAO,14:51
105917,TERMINAL PINHEIRINHO,15:44
104911,TERMINAL BOQUEIRAO,16:37
105917,TERMINAL PINHEIRINHO,17:31
104911,TERMINAL BOQUEIRAO,18:24
105917,TERMINAL PINHEIRINHO,19:18
104911,TERMINAL BOQUEIRAO,20:10
105917,TERMINAL PINHEIRINHO,20:59
104911,TERMINAL BOQUEIRAO,21:49
105917,TERMINAL PINHEIRINHO,22:38
104911,TERMINAL BOQUEIRAO,23:30
