Linha,528
Tabela,001
num,ponto,horario
160070,BAIRRO FUTURAMA,05:08
105917,TERMINAL PINHEIRINHO,05:30
104911,TERMINAL BOQUEIRAO,06:20
105917,TERMINAL PINHEIRINHO,07:13
104911,TERMINAL BOQUEIRAO,08:06
105917,TERMINAL PINHEIRINHO,09:01
104911,TERMINAL BOQUEIRAO,09:54
105917,TERMINAL PINHEIRINHO,10:50
104911,TERMINAL BOQUEIRAO,11:44
105917,TERMINAL PINHEIRINHO,12:39
104911,TERMINAL BOQUEIRAO,13:34
105917,TERMINAL PINHEIRINHO,14:33
104911,TERMINAL BOQUEIRAO,15:26
105917,TERMINAL PINHEIRINHO,16:20
104911,TERMINAL BOQUEIRAO,17:13
105917,TERMINAL PINHEIRINHO,18:07
104911,TERMINAL BOQUEIRAO,19:00
105917,TERMINAL PINHEIRINHO,19:53
104911,TERMINAL BOQUEIRAO,20:43
105917,TERMINAL PINHEIRINHO,21:32
104911,TERMINAL BOQUEIRAO,22:22
105917,TERMINAL PINHEIRINHO,23:10
