Linha,772
Tabela,004-2
num,ponto,horario
105914,TERMINAL PINHEIRINHO,16:50
631033,CATRACA (SENTIDO BAIRRO),17:18
631008,BAIRRO TUPY,17:37
631030,CATRACA (SENTIDO TERMINAL),17:46
105914,TERMINAL PINHEIRINHO,18:34
631033,CATRACA (SENTIDO BAIRRO),19:01
631008,BAIRRO TUPY,19:19
631030,CATRACA (SENTIDO TERMINAL),19:28
105914,TERMINAL PINHEIRINHO,20:08
631033,CATRACA (SENTIDO BAIRRO),20:33
631008,BAIRRO TUPY,20:44
631030,CATRACA (SENTIDO TERMINAL),20:52
105914,TERMINAL PINHEIRINHO,21:31
631033,CATRACA (SENTIDO BAIRRO),21:57
631008,BAIRRO TUPY,22:10
631030,CATRACA (SENTIDO TERMINAL),22:18
105914,TERMINAL PINHEIRINHO,22:55
631033,CATRACA (SENTIDO BAIRRO),23:21
631008,BAIRRO TUPY,23:32
631030,CATRACA (SENTIDO TERMINAL),23:40
105914,TERMINAL PINHEIRINHO,00:15
631033,CATRACA (SENTIDO BAIRRO),00:41
