Linha,170
Tabela,001
num,ponto,horario
120317,BAIRRO BRACATINGA,05:44
101126,TRAVESSA NESTOR DE CASTRO,06:12
120317,BAIRRO BRACATINGA,06:40
101126,TRAVESSA NESTOR DE CASTRO,07:08
120317,BAIRRO BRACATINGA,07:36
101126,TRAVESSA NESTOR DE CASTRO,08:05
120317,BAIRRO BRACATINGA,08:34
101126,TRAVESSA NESTOR DE CASTRO,09:03
120317,BAIRRO BRACATINGA,09:32
101126,TRAVESSA NESTOR DE CASTRO,10:01
120317,BAIRRO BRACATINGA,10:30
101126,TRAVESSA NESTOR DE CASTRO,10:59
120317,BAIRRO BRACATINGA,11:28
101126,TRAVESSA NESTOR DE CASTRO,11:57
120317,BAIRRO BRACATINGA,12:26
101126,TRAVESSA NESTOR DE CASTRO,12:55
120317,BAIRRO BRACATINGA,13:24
101126,TRAVESSA NESTOR DE CASTRO,13:53
120317,BAIRRO BRACATINGA,14:22
101126,TRAVESSA NESTOR DE CASTRO,14:51
120317,BAIRRO BRACATINGA,15:20
101126,TRAVESSA NESTOR DE CASTRO,15:49
120317,BAIRRO BRACATINGA,16:18
101126,TRAVESSA NESTOR DE CASTRO,16:47
120317,BAIRRO BRACATINGA,17:16
101126,TRAVESSA NESTOR DE CASTRO,17:45
120317,BAIRRO BRACATINGA,18:14
101126,TRAVESSA NESTOR DE CASTRO,18:43
120317,BAIRRO BRACATINGA,19:13
101126,TRAVESSA NESTOR DE CASTRO,19:40
120317,BAIRRO BRACATINGA,20:06
101126,TRAVESSA NESTOR DE CASTRO,20:32
120317,BAIRRO BRACATINGA,20:58
101126,TRAVESSA NESTOR DE CASTRO,21:24
120317,BAIRRO BRACATINGA,21:50
101126,TRAVESSA NESTOR DE CASTRO,22:16
120317,BAIRRO BRACATINGA,22:42
101126,TRAVESSA NESTOR DE CASTRO,23:08
120317,BAIRRO BRACATINGA,23:34
101126,TRAVESSA NESTOR DE CASTRO,00:00
